event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,residual_group,d1_high_to_close_drawdown_raw,d1_close_location,d1_intraday_range,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_last_hour_return,late_day_sell_volume_ratio,late_day_sell_amount_ratio,score_gap_to_rank3,candidate_count
002254_2026-06-10,2026-06-10,002254,3,0.513873947792,7,1,0.0754173862982,0.07,RANK4_10_MISSED_WINNER,0.0757657173563,0.170588235294,0.0904736562001,0.0171496156121,-0.0757657173563,0.0171496156121,0.0319555003732,0.0312371335957,0.054735526272,7
002636_2026-06-11,2026-06-11,002636,3,0.599855388238,1,1,0.0890098899878,0.07,TOP3_TRUE_POSITIVE,0.00422733677783,0.953367875648,0.0997158357014,0.095041322314,0.095041322314,-0.00422733677783,0.0706531607359,0.0728488171373,,10
605318_2026-06-11,2026-06-11,605318,2,0.593868983104,2,0,0.0456747404844,0.0456747404844,TOP3_FALSE_POSITIVE,0.00959288722508,0.879647749511,0.087680164722,0.076186440678,0.076186440678,-0.00781311039925,0.0551390300603,0.0558992704383,,10
605006_2026-06-11,2026-06-11,605006,2,0.577343898133,3,0,0.012037037037,0.012037037037,TOP3_FALSE_POSITIVE,0.0119840213049,0.852459016393,0.0868533459896,0.0753623188406,0.0358306188925,0.0225080385852,0.0493494314841,0.0494462806817,,10
605589_2026-06-11,2026-06-11,605589,2,0.576850215134,4,1,0.0872881355932,0.07,RANK4_10_MISSED_WINNER,0.0625480252036,0.489974937343,0.132778702163,0.0684883517253,-0.0161290322581,-0.0355731225296,0.0767003858658,0.0778295933152,0.000493682999,10
603065_2026-06-11,2026-06-11,603065,2,0.560827587144,5,0,0.0286764705882,0.0286764705882,RANK4_10_NON_WINNER,0,,0,0,0,0,0,0,,10
002585_2026-06-11,2026-06-11,002585,2,0.542080308779,6,0,0.0257648953301,0.0257648953301,RANK4_10_NON_WINNER,0.0772659732541,0.246376811594,0.102831594635,0.0281456953642,-0.0562310030395,0.00161290322581,0.048621117268,0.0478911360792,,10
000029_2026-06-11,2026-06-11,000029,2,0.539164166474,7,0,0.0117970900511,0.0117970900511,RANK4_10_NON_WINNER,0.101306036004,0.125,0.121526491293,0.0163672654691,-0.0521221146687,0.00394321766562,0.0466243515517,0.0451453710241,,10
003026_2026-06-11,2026-06-11,003026,2,0.529836114734,8,0,-0.0459548706659,-0.0459548706659,RANK4_10_NON_WINNER,0.0626652564781,0.185567010309,0.0805201992252,0.0154683471785,-0.0382528486164,0.00796133067956,0.0819708230234,0.0792914424846,,10
603002_2026-06-11,2026-06-11,603002,2,0.527254387246,9,0,0.0673719376392,0.0673719376392,RANK4_10_NON_WINNER,0.0319091400757,0.516393442623,0.0668493150685,0.0364794441228,-0.0245231607629,0.00280112044818,0.0366236683958,0.0366259230915,,10
