code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
603888,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603888 data quality check failed: minute trade days 30 < required 40,新华网,2026-06-09,2026-06-05
603938,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603938 data quality check failed: minute trade days 30 < required 40,三孚股份,2026-06-09,2026-06-05
603992,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603992 data quality check failed: minute trade days 30 < required 40,松霖科技,2026-06-09,2026-06-05
000068,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,000068 data quality check failed: minute trade days 30 < required 40,华控赛格,2026-06-09,2026-06-08
000620,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,000620 data quality check failed: minute trade days 30 < required 40,盈新发展,2026-06-09,2026-06-08
000785,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,000785 data quality check failed: minute trade days 30 < required 40,居然智家,2026-06-09,2026-06-08
000833,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,000833 data quality check failed: minute trade days 30 < required 40,粤桂股份,2026-06-09,2026-06-08
000970,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,000970 data quality check failed: minute trade days 30 < required 40,中科三环,2026-06-09,2026-06-08
001238,failed,cache,sina_5m,False,40,180,180,1397,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:30:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,001238 data quality check failed: minute trade days 30 < required 40,浙江正特,2026-06-09,2026-06-08
001317,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,001317 data quality check failed: minute trade days 30 < required 40,三羊马,2026-06-09,2026-06-08
001696,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,001696 data quality check failed: minute trade days 30 < required 40,宗申动力,2026-06-09,2026-06-09
002046,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002046 data quality check failed: minute trade days 30 < required 40,国机精工,2026-06-09,2026-06-08
