population,signal_date,board_group,candidate_count,candidate_target7_rate,candidate_loss_rate,candidate_mean_capped,top10_count,top10_target7_rate,top10_loss_rate,top10_mean_capped,selection_rate_top10,top5_count,top5_target7_rate,top5_loss_rate,top5_mean_capped,selection_rate_top5,top3_count,top3_target7_rate,top3_loss_rate,top3_mean_capped,selection_rate_top3
STRICT_FUNNEL,2026-06-11,BOARD2,9,0.111111111111,0.222222222222,0.023795831243,9,0.111111111111,0.222222222222,0.023795831243,1,4,0.25,0,0.0390970620274,0.444444444444,2,0.5,0,0.0578373702422,0.222222222222
STRICT_FUNNEL,2026-06-11,BOARD3,1,1,0,0.07,1,1,0,0.07,1,1,1,0,0.07,1,1,1,0,0.07,1
STRICT_FUNNEL,2026-06-12,BOARD2,7,0.571428571429,0.142857142857,0.0490509986022,7,0.571428571429,0.142857142857,0.0490509986022,1,4,0.75,0,0.0660895032802,0.571428571429,2,0.5,0,0.0621790065605,0.285714285714
STRICT_FUNNEL,2026-06-12,BOARD3,1,0,1,-0.0215053763441,1,0,1,-0.0215053763441,1,1,0,1,-0.0215053763441,1,1,0,1,-0.0215053763441,1
STRICT_FUNNEL,2026-06-15,BOARD2,3,0.333333333333,0,0.0449404761905,3,0.333333333333,0,0.0449404761905,1,3,0.333333333333,0,0.0449404761905,1,3,0.333333333333,0,0.0449404761905,1
STRICT_FUNNEL,2026-06-16,BOARD2,5,0.6,0.4,0.037992730109,5,0.6,0.4,0.037992730109,1,3,0.666666666667,0.333333333333,0.0404244694132,0.6,1,1,0,0.07,0.2
STRICT_FUNNEL,2026-06-16,BOARD3,2,0,0.5,0.0146987639178,2,0,0.5,0.0146987639178,1,2,0,0.5,0.0146987639178,1,2,0,0.5,0.0146987639178,1
STRICT_FUNNEL,2026-06-17,BOARD2,16,0.75,0,0.0651603812351,9,0.777777777778,0,0.0659340547102,0.5625,4,1,0,0.07,0.25,2,1,0,0.07,0.125
STRICT_FUNNEL,2026-06-17,BOARD3,1,0,1,-0.0212765957447,1,0,1,-0.0212765957447,1,1,0,1,-0.0212765957447,1,1,0,1,-0.0212765957447,1
STRICT_FUNNEL,2026-06-18,BOARD2,7,0.142857142857,0.285714285714,0.0196874723863,3,0,0,0.0408047640147,0.428571428571,0,,,,0,0,,,,0
STRICT_FUNNEL,2026-06-18,BOARD3,8,0.125,0.25,0.0152316074854,7,0.142857142857,0.285714285714,0.016717420287,0.875,5,0.2,0.4,0.0140761867612,0.625,3,0,0.666666666667,-0.00646240583523,0.375
STRICT_FUNNEL,2026-06-22,BOARD2,5,0.6,0.2,0.0468735872939,5,0.6,0.2,0.0468735872939,1,3,0.333333333333,0.333333333333,0.0314559788232,0.6,2,0.5,0,0.0663494218981,0.4
STRICT_FUNNEL,2026-06-22,BOARD3,2,0.5,0,0.0457095046854,2,0.5,0,0.0457095046854,1,2,0.5,0,0.0457095046854,1,1,0,0,0.0214190093708,0.5
STRICT_FUNNEL,2026-06-23,BOARD2,13,0.461538461538,0,0.0491998265601,9,0.444444444444,0,0.0480910489341,0.692307692308,4,0.25,0,0.0429208420477,0.307692307692,3,0.333333333333,0,0.0357224130528,0.230769230769
STRICT_FUNNEL,2026-06-23,BOARD3,1,1,0,0.07,1,1,0,0.07,1,1,1,0,0.07,1,0,,,,0
STRICT_FUNNEL,2026-06-24,BOARD2,13,0.230769230769,0.384615384615,0.0231799572692,8,0.25,0.375,0.0231720326395,0.615384615385,4,0,0.5,0.0147215171792,0.307692307692,2,0,0.5,0.0145975502034,0.153846153846
STRICT_FUNNEL,2026-06-24,BOARD3,2,0,0.5,0.0139489880299,2,0,0.5,0.0139489880299,1,1,0,1,-0.036815920398,0.5,1,0,1,-0.036815920398,0.5
STRICT_FUNNEL,2026-06-25,BOARD2,7,0.285714285714,0.428571428571,0.0114971112479,7,0.285714285714,0.428571428571,0.0114971112479,1,4,0.25,0.5,-0.00640721766992,0.571428571429,2,0.5,0.5,0.0293408788283,0.285714285714
STRICT_FUNNEL,2026-06-25,BOARD3,2,1,0,0.07,2,1,0,0.07,1,1,1,0,0.07,0.5,1,1,0,0.07,0.5
STRICT_FUNNEL,2026-06-26,BOARD2,12,0.25,0.416666666667,0.0160137516633,10,0.2,0.4,0.0148139045933,0.833333333333,5,0.2,0.6,-0.00037118004786,0.416666666667,3,0.333333333333,0.333333333333,0.0316153530378,0.25
