event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
000068_2026-06-09,2026-06-09,000068,9,2026-06-11,0.581605518672,5,True,0.5,0.638888888889,0.319444444444,False,,False,5,0,1,-0.0503978779841,-0.0503978779841
002361_2026-06-09,2026-06-09,002361,9,2026-06-11,0.576456113378,6,True,0.375,0.5,0.1875,False,,False,6,0,0,0.047323943662,0.047323943662
002613_2026-06-09,2026-06-09,002613,9,2026-06-11,0.565011080731,7,True,0.25,0.777777777778,0.194444444444,False,,False,7,0,1,-0.013698630137,-0.013698630137
000517_2026-06-09,2026-06-09,000517,9,2026-06-11,0.547631865776,8,True,0.125,0.916666666667,0.114583333333,False,,False,8,0,0,0.0147783251232,0.0147783251232
000759_2026-06-09,2026-06-09,000759,9,2026-06-11,0.542700800948,9,True,0,0.361111111111,0,False,,False,9,0,0,0.00649350649351,0.00649350649351
603929_2026-06-10,2026-06-10,603929,7,2026-06-12,0.606701516414,1,True,1,0.178571428571,0.178571428571,True,0.217900335155,False,1,1,0,0.0850540374308,0.07
603616_2026-06-10,2026-06-10,603616,7,2026-06-12,0.595411918467,2,True,0.833333333333,0.821428571429,0.684523809524,True,0.214425335563,False,2,0,0,0.0160583941606,0.0160583941606
603186_2026-06-10,2026-06-10,603186,7,2026-06-12,0.593746482363,3,True,0.666666666667,0.107142857143,0.0714285714286,True,0.219460422946,False,3,1,0,0.12896813445,0.07
001696_2026-06-10,2026-06-10,001696,7,2026-06-12,0.582844901318,4,True,0.5,0.25,0.125,False,,False,4,1,0,0.202105263158,0.07
002747_2026-06-10,2026-06-10,002747,7,2026-06-12,0.556544588022,5,True,0.333333333333,0.821428571429,0.27380952381,False,,False,5,0,0,0.0194285714286,0.0194285714286
002362_2026-06-10,2026-06-10,002362,7,2026-06-12,0.553336281321,6,True,0.166666666667,0.464285714286,0.077380952381,False,,False,6,0,1,-0.0082219938335,-0.0082219938335
002254_2026-06-10,2026-06-10,002254,7,2026-06-12,0.540138504497,7,True,0,0.607142857143,0,False,,False,7,1,0,0.0754173862982,0.07
002636_2026-06-11,2026-06-11,002636,10,2026-06-15,0.600535612351,1,True,1,0.05,0.05,True,0.238337797108,False,1,1,0,0.0890098899878,0.07
605318_2026-06-11,2026-06-11,605318,10,2026-06-15,0.597700837423,2,True,0.888888888889,0.152777777778,0.135802469136,True,0.237688346357,False,2,0,0,0.0456747404844,0.0456747404844
605589_2026-06-11,2026-06-11,605589,10,2026-06-15,0.581178360457,3,True,0.777777777778,0.461111111111,0.358641975309,True,0.235317774468,False,3,1,0,0.0872881355932,0.07
605006_2026-06-11,2026-06-11,605006,10,2026-06-15,0.580402769619,4,True,0.666666666667,0.255555555556,0.17037037037,False,,False,4,0,0,0.012037037037,0.012037037037
603065_2026-06-11,2026-06-11,603065,10,2026-06-15,0.564034881813,5,True,0.555555555556,0.4375,0.243055555556,False,,False,5,0,0,0.0286764705882,0.0286764705882
002585_2026-06-11,2026-06-11,002585,10,2026-06-15,0.547947347533,6,True,0.444444444444,0.713888888889,0.317283950617,False,,False,6,0,0,0.0257648953301,0.0257648953301
000029_2026-06-11,2026-06-11,000029,10,2026-06-15,0.545473862865,7,True,0.333333333333,0.794444444444,0.264814814815,False,,False,7,0,0,0.0117970900511,0.0117970900511
003026_2026-06-11,2026-06-11,003026,10,2026-06-15,0.537623134217,8,True,0.222222222222,0.716666666667,0.159259259259,False,,False,8,0,1,-0.0459548706659,-0.0459548706659
603002_2026-06-11,2026-06-11,603002,10,2026-06-15,0.531343667312,9,True,0.111111111111,0.433333333333,0.0481481481481,False,,False,9,0,0,0.0673719376392,0.0673719376392
002669_2026-06-11,2026-06-11,002669,10,2026-06-15,0.529100716074,10,True,0,0.734722222222,0,False,,False,10,0,1,-0.00120481927711,-0.00120481927711
002119_2026-06-12,2026-06-12,002119,8,2026-06-16,0.586392572125,1,True,1,0.40625,0.40625,True,0.239268423401,False,1,0,0,0.0543580131209,0.0543580131209
000048_2026-06-12,2026-06-12,000048,8,2026-06-16,0.570389237292,2,True,0.857142857143,0.65625,0.5625,True,0.238227381528,False,2,0,1,-0.0215053763441,-0.0215053763441
002409_2026-06-12,2026-06-12,002409,8,2026-06-16,0.56486602319,3,True,0.714285714286,0.4375,0.3125,True,0.239771798884,False,3,1,0,0.0771077107711,0.07
600378_2026-06-12,2026-06-12,600378,8,2026-06-16,0.548745109595,4,True,0.571428571429,0.78125,0.446428571429,False,,False,4,1,0,0.0784588441331,0.07
002165_2026-06-12,2026-06-12,002165,8,2026-06-16,0.540653865757,5,True,0.428571428571,0.125,0.0535714285714,False,,False,5,1,0,0.0732356857523,0.07
600665_2026-06-12,2026-06-12,600665,8,2026-06-16,0.533369440337,6,True,0.285714285714,0.0625,0.0178571428571,False,,False,6,0,0,0.012987012987,0.012987012987
603155_2026-06-12,2026-06-12,603155,8,2026-06-16,0.524696049824,7,True,0.142857142857,0.625,0.0892857142857,False,,False,7,1,0,0.087962962963,0.07
600178_2026-06-12,2026-06-12,600178,8,2026-06-16,0.51858552727,8,True,0,0.65625,0,False,,False,8,0,1,-0.00398803589232,-0.00398803589232
002203_2026-06-15,2026-06-15,002203,3,2026-06-17,0.553088870644,1,True,1,0.0833333333333,0.0833333333333,True,0.231144546702,False,1,0,0,0.03625,0.03625
600067_2026-06-15,2026-06-15,600067,3,2026-06-17,0.522420645657,2,True,0.5,0.5,0.25,True,0.231218933015,False,2,0,0,0.0285714285714,0.0285714285714
603014_2026-06-15,2026-06-15,603014,3,2026-06-17,0.472858641154,3,True,0,0.666666666667,0,True,0.232301888356,False,3,1,0,0.111851637207,0.07
601958_2026-06-16,2026-06-16,601958,7,2026-06-18,0.592319763519,1,True,1,0.357142857143,0.357142857143,True,0.221255748883,False,1,0,0,0.0439285714286,0.0439285714286
001359_2026-06-16,2026-06-16,001359,7,2026-06-18,0.584076635077,2,True,0.833333333333,0.392857142857,0.327380952381,True,0.221946829006,False,2,1,0,0.120841364284,0.07
000510_2026-06-16,2026-06-16,000510,7,2026-06-18,0.572216002721,3,True,0.666666666667,0.107142857143,0.0714285714286,True,0.223695507033,False,3,0,1,-0.0145310435931,-0.0145310435931
601696_2026-06-16,2026-06-16,601696,7,2026-06-18,0.547238939001,4,True,0.5,0.25,0.125,False,,False,4,0,1,-0.0187265917603,-0.0187265917603
603738_2026-06-16,2026-06-16,603738,7,2026-06-18,0.543805034004,5,True,0.333333333333,0.714285714286,0.238095238095,False,,False,5,1,0,0.129815592478,0.07
603335_2026-06-16,2026-06-16,603335,7,2026-06-18,0.520929691444,6,True,0.166666666667,0.785714285714,0.130952380952,False,,False,6,1,0,0.111922141119,0.07
000506_2026-06-16,2026-06-16,000506,7,2026-06-18,0.49776781373,7,True,0,0.642857142857,0,False,,False,7,0,1,-0.00130975769483,-0.00130975769483
605198_2026-06-17,2026-06-17,605198,17,2026-06-22,0.595347963081,1,True,1,0.025,0.025,True,0.225684585719,False,1,0,1,-0.0212765957447,-0.0212765957447
603256_2026-06-17,2026-06-17,603256,17,2026-06-22,0.590493733946,2,True,0.9375,0.775,0.7265625,True,0.225315035878,False,2,1,0,0.12002451982,0.07
002515_2026-06-17,2026-06-17,002515,17,2026-06-22,0.580208362088,3,True,0.875,0.525,0.459375,True,0.225788020028,False,3,1,0,0.165371809101,0.07
002824_2026-06-17,2026-06-17,002824,17,2026-06-22,0.579912100891,4,True,0.8125,0.325,0.2640625,False,,False,4,1,0,0.144943820225,0.07
600549_2026-06-17,2026-06-17,600549,17,2026-06-22,0.57652875494,5,True,0.75,0.6,0.45,False,,False,5,1,0,0.209677419355,0.07
605289_2026-06-17,2026-06-17,605289,17,2026-06-22,0.567053946914,6,True,0.6875,0.55,0.378125,False,,False,6,0,0,0.065543071161,0.065543071161
002851_2026-06-17,2026-06-17,002851,17,2026-06-22,0.560273706408,7,True,0.625,0.225,0.140625,False,,False,7,1,0,0.0721357850071,0.07
002585_2026-06-17,2026-06-17,002585,17,2026-06-22,0.554586794746,8,True,0.5625,0.225,0.1265625,False,,False,8,0,0,0.0378634212306,0.0378634212306
002552_2026-06-17,2026-06-17,002552,17,2026-06-22,0.552111624994,9,True,0.5,0.625,0.3125,False,,False,9,1,0,0.136402877698,0.07
002990_2026-06-17,2026-06-17,002990,17,2026-06-22,0.544319402763,10,True,0.4375,0.875,0.3828125,False,,False,10,1,0,0.0859687386405,0.07
603516_2026-06-17,2026-06-17,603516,17,2026-06-22,0.529892433793,11,False,0.375,,,False,,False,11,1,0,0.0701068927387,0.07
601179_2026-06-17,2026-06-17,601179,17,2026-06-22,0.524657251065,12,False,0.3125,,,False,,False,12,1,0,0.0707908163265,0.07
002806_2026-06-17,2026-06-17,002806,17,2026-06-22,0.516683953512,13,False,0.25,,,False,,False,13,0,0,0.0405727923628,0.0405727923628
600545_2026-06-17,2026-06-17,600545,17,2026-06-22,0.508964217966,14,False,0.1875,,,False,,False,14,1,0,0.142857142857,0.07
603045_2026-06-17,2026-06-17,603045,17,2026-06-22,0.501441178291,15,False,0.125,,,False,,False,15,0,0,0.0585868150077,0.0585868150077
600703_2026-06-17,2026-06-17,600703,17,2026-06-22,0.486643311867,16,False,0.0625,,,False,,False,16,1,0,0.0892151326934,0.07
002051_2026-06-17,2026-06-17,002051,17,2026-06-22,0.48247483137,17,False,0,,,False,,False,17,1,0,0.0827974276527,0.07
603186_2026-06-18,2026-06-18,603186,15,2026-06-23,0.585704012668,1,True,1,0.1,0.1,True,0.218284600488,False,1,0,0,0.0454831800428,0.0454831800428
002741_2026-06-18,2026-06-18,002741,15,2026-06-23,0.585158419493,2,True,0.928571428571,0.1,0.0928571428571,True,0.218522914932,False,2,0,1,-0.0204131227217,-0.0204131227217
