source_column,admission_status,reason_codes,mechanism_group,target_blind,notes
actual_d3_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_date_shift_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_date_shift_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
suspension_proof_status,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
label_quality_ok,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
label_quality_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
target_quality_ok,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
tail_label_quality_ok,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
sample_role,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
sample_role_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
event_observation_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
signal_date_candidate_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
proposed_training_weight,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
d2_open_daily,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
d3_high_daily,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
d3_close_daily,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
daily_d2open_to_d3high_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
daily_d2open_to_d3close_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
target7_daily_d2open_d3high,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
tail_loss_daily_5pct,AUDIT_ONLY,NOT_STAGE1_ALLOWED|LABEL,FORBIDDEN_AUDIT,True,
actual_daily_d2_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
actual_daily_d3_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_daily_date_shift_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_daily_date_shift_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
suspension_proof_status_daily,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
