source_column,source_column_role,available_as_of,stage1_allowed_for_feature_analysis,source_or_formula,dtype,semantic_type,mechanism_group,unit_family,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,admission_status,primary_allowed,sensitivity_allowed,derive_only,reason_codes,preprocess_policy,target_blind,notes
d1_ma20,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_ma20,float64,moving_average_price,RAW_SCALE_SOURCE,price,333,0,0.0,333,3.475,1,0.003003,1.29,451.72,,d1_ma20,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_close_to_ma5_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close_to_ma5_raw,float64,close_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,333,0.0944570135746607,1,0.003003,-0.0057244744744744,0.1974965229485394,,d1_close_to_ma5_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_low_to_ma5_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_low_to_ma5_raw,float64,low_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,333,0.0322398190045247,1,0.003003,-0.0251806204844878,0.161654135338346,,d1_low_to_ma5_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_high_to_ma5_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_high_to_ma5_raw,float64,high_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,332,0.1363636363636364,2,0.006006,0.0258626208309327,0.2411125052279379,,d1_high_to_ma5_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_close_to_ma10_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close_to_ma10_raw,float64,close_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,333,0.12565445026178,1,0.003003,-0.0835293813500168,0.3800286421038927,,d1_close_to_ma10_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_low_to_ma10_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_low_to_ma10_raw,float64,low_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,333,0.0616637579988363,1,0.003003,-0.0977482484940928,0.3258957305299292,,d1_low_to_ma10_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_close_to_ma20,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close_to_ma20,float64,close_to_ma_ratio,D1_MA_POSITION,ratio,333,0,0.0,333,0.1136690647482014,1,0.003003,-0.1735344516068868,0.6589885604844972,,d1_close_to_ma20,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_ma5_slope,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_ma5_slope,float64,ma_slope,D1_MA_POSITION,slope,333,0,0.0,333,0.0315052508751458,1,0.003003,-0.0623162180502149,0.095079335679447,,d1_ma5_slope,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_ma10_slope,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_ma10_slope,float64,ma_slope,D1_MA_POSITION,slope,333,0,0.0,333,0.0138602182247127,1,0.003003,-0.0282864822769863,0.0691270104710461,,d1_ma10_slope,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
deprecated_d1_reclaimed_ma5_v01,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma5_v01,bool,reclaim_binary_deprecated,D1_MA_POSITION,binary,333,0,0.0,2,True,330,0.990991,False,True,ED10,d1_close_above_ma5,,EXCLUDE_DEPRECATED,False,False,False,DEPRECATED,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_close_above_ma5 (ED10)
deprecated_d1_reclaimed_ma10_v01,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma10_v01,bool,reclaim_binary_deprecated,D1_MA_POSITION,binary,333,0,0.0,2,True,328,0.984985,False,True,ED11,d1_close_above_ma10,,EXCLUDE_DEPRECATED,False,False,False,DEPRECATED,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_close_above_ma10 (ED11)
consecutive_days_below_ma5,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column consecutive_days_below_ma5,int64,ordinal_count,D1_MA_POSITION,count,333,0,0.0,2,0,330,0.990991,0,1,,consecutive_days_below_ma5,ME06_MA5_POSITION,SENSITIVITY_RAW,False,True,False,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,RAW_ORDINAL,True,互斥组: ME06_MA5_POSITION
consecutive_days_below_ma10,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column consecutive_days_below_ma10,int64,ordinal_count,D1_MA_POSITION,count,333,0,0.0,4,0,328,0.984985,0,20,,consecutive_days_below_ma10,ME07_MA10_POSITION,SENSITIVITY_RAW,False,True,False,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,RAW_ORDINAL,True,互斥组: ME07_MA10_POSITION
d1_open_to_close_return_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_open_to_close_return_raw,float64,open_to_close_return,D1_PRICE_ACTION,return,333,0,0.0,329,0.0,4,0.012012,-0.1566265060240964,0.1080391322841343,,d1_open_to_close_return_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_low_to_close_recovery,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_low_to_close_recovery,float64,low_to_close_recovery,D1_PRICE_ACTION,ratio,333,0,0.0,307,0.0,27,0.081081,0.0,0.1620689655172414,,d1_low_to_close_recovery,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_high_to_close_drawdown_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_high_to_close_drawdown_raw,float64,high_to_close_drawdown,D1_PRICE_ACTION,drawdown,333,0,0.0,329,0.0,3,0.009009,0.0,0.173044925124792,ED06,d1_high_to_close_drawdown_raw,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_close_location,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close_location,float64,close_location_ratio,D1_PRICE_ACTION,location,331,2,0.006006,306,0.0,25,0.075075,0.0,1.0,ED07,d1_close_location,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,FOLD_CLIP_Z,True,
d1_vwap,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_vwap,float64,d1_absolute_vwap,RAW_SCALE_SOURCE,price,333,0,0.0,333,3.8157144854903486,1,0.003003,1.436232481005097,569.5885010423804,,d1_vwap,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_close_to_vwap_raw,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close_to_vwap_raw,float64,close_to_vwap_ratio,D1_VWAP_POSITION,ratio,333,0,0.0,333,0.0142268282168589,1,0.003003,-0.0858233454563892,0.0750873748983902,,d1_close_to_vwap_raw,ME05_VWAP_GAP,PRIMARY_RAW,True,False,False,ME_CANONICAL|DEFAULT_PRIMARY,FOLD_CLIP_Z,True,互斥组: ME05_VWAP_GAP
d1_intraday_range,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_intraday_range,float64,intraday_range_ratio,D1_PRICE_ACTION,ratio,333,0,0.0,331,0.0781990521327014,2,0.006006,0.0,0.2001853568118627,ED05,d1_intraday_range,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
d1_afternoon_return,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_afternoon_return,float64,afternoon_return,D1_PRICE_ACTION,return,333,0,0.0,315,0.0,19,0.057057,-0.1034103410341034,0.0990634005763688,,d1_afternoon_return,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
