source_column,admission_status,dtype,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,is_binary,binary_value_counts,binary_minority_count,is_absolute_scale,is_bucket,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,reason_codes,mechanism_group,preprocess_policy,target_blind
late_day_sell_amount_ratio,SENSITIVITY_RAW,float64,333,0,0.0,319,0.0,15,0.045045,0.0,0.2220735392697603,False,,,False,False,,late_day_sell_amount_ratio,ME04_LATE_SELL,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,True
down_bar_volume_ratio,PRIMARY_RAW,float64,333,0,0.0,331,0.0,3,0.009009,0.0,0.8073547818436243,False,,,False,False,ED12,down_bar_volume_ratio,,DEFAULT_PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
d1_vwap_to_close_gap,SENSITIVITY_RAW,float64,333,0,0.0,333,-0.014027264731176,1,0.003003,-0.069843044064662,0.093880482541129,False,,,False,False,,d1_vwap_to_close_gap,ME05_VWAP_GAP,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,D1_VWAP_POSITION,FOLD_CLIP_Z,True
break_day_in_pool,PRIMARY_RAW,bool,333,0,0.0,2,False,317,0.951952,False,True,True,"False:317,True:16",16.0,False,False,,break_day_in_pool,,BINARY|DEFAULT_PRIMARY,POOL_MEMBERSHIP,RAW_BINARY,True
last_board_day_in_pool,SENSITIVITY_RAW,bool,333,0,0.0,2,True,324,0.972973,False,True,True,"False:9,True:324",9.0,False,False,,last_board_day_in_pool,,BINARY|BINARY_MINORITY_LT_10,POOL_MEMBERSHIP,RAW_BINARY,True
pool_consecutive_count_last_board,SENSITIVITY_RAW,float64,324,9,0.027027,3,2.0,255,0.765766,1.0,3.0,False,,,False,False,,pool_consecutive_count_last_board,,MISSING_LE_15PCT,POOL_MEMBERSHIP,RAW_ORDINAL,True
d1_close_above_ma5,SENSITIVITY_RAW,bool,333,0,0.0,2,True,330,0.990991,False,True,True,"False:3,True:330",3.0,False,False,ED10,d1_close_above_ma5,ME06_MA5_POSITION,BINARY|BINARY_MINORITY_LT_10|ME_CANONICAL,D1_MA_POSITION,RAW_BINARY,True
d1_close_above_ma10,SENSITIVITY_RAW,bool,333,0,0.0,2,True,328,0.984985,False,True,True,"False:5,True:328",5.0,False,False,ED11,d1_close_above_ma10,ME07_MA10_POSITION,BINARY|BINARY_MINORITY_LT_10|ME_CANONICAL,D1_MA_POSITION,RAW_BINARY,True
d1_true_reclaim_ma5,PRIMARY_RAW,bool,333,0,0.0,2,False,313,0.93994,False,True,True,"False:313,True:20",20.0,False,False,,d1_true_reclaim_ma5,,BINARY|DEFAULT_PRIMARY,D1_MA_POSITION,RAW_BINARY,True
d1_true_reclaim_ma10,SENSITIVITY_RAW,bool,333,0,0.0,2,False,326,0.978979,False,True,True,"False:326,True:7",7.0,False,False,,d1_true_reclaim_ma10,,BINARY|BINARY_MINORITY_LT_10,D1_MA_POSITION,RAW_BINARY,True
d1_close_to_ma5_bucket,SENSITIVITY_RAW,str,333,0,0.0,4,above_plus_10pct,135,0.405405,,,False,,,False,True,,d1_close_to_ma5_bucket,,PREBUCKETED,D1_MA_POSITION,BUCKET_SENSITIVITY_ONLY,True
d1_open_to_close_bucket,SENSITIVITY_RAW,str,333,0,0.0,6,below_minus_5pct,88,0.264264,,,False,,,False,True,,d1_open_to_close_bucket,,PREBUCKETED,D1_PRICE_ACTION,BUCKET_SENSITIVITY_ONLY,True
