signal_date,feature,count,target7_rate,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,corr_target7,direction_hint
2026-06-12,d1_low_ma10_pct,174,0.5229885057471264,0.6,0.6285714285714286,-0.02857142857142858,0.07320627383585418,lower_better
2026-06-15,d1_low_ma10_pct,66,0.15151515151515152,0.14285714285714285,0.21428571428571427,-0.07142857142857142,0.1233793784904325,lower_better
2026-06-16,d1_low_ma10_pct,96,0.4375,0.4,0.35,0.050000000000000044,-0.017857294317147915,higher_better
2026-06-17,d1_low_ma10_pct,169,0.3609467455621302,0.5294117647058824,0.29411764705882354,0.23529411764705882,0.15400876527100954,higher_better
2026-06-18,d1_low_ma10_pct,210,0.37142857142857144,0.4523809523809524,0.30952380952380953,0.14285714285714285,0.07921290308252243,higher_better
2026-06-23,d1_low_ma10_pct,91,0.43956043956043955,0.631578947368421,0.3157894736842105,0.3157894736842105,0.2632099608752971,higher_better
2026-06-24,d1_low_ma10_pct,155,0.27741935483870966,0.3870967741935484,0.25806451612903225,0.12903225806451613,0.04028149294593148,higher_better
2026-06-25,d1_low_ma10_pct,215,0.20465116279069767,0.3488372093023256,0.18604651162790697,0.16279069767441862,0.19254859041445513,higher_better
2026-06-08,days_since_d0,48,0.22916666666666666,0.22916666666666666,0.22916666666666666,0.0,,flat
2026-06-09,days_since_d0,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,,flat
2026-06-10,days_since_d0,118,0.2966101694915254,0.2647058823529412,0.30952380952380953,-0.044817927170868355,-0.044438337164417356,lower_better
2026-06-11,days_since_d0,171,0.3216374269005848,0.36363636363636365,0.22,0.14363636363636365,0.03868325399919691,higher_better
2026-06-12,days_since_d0,174,0.5229885057471264,0.6309523809523809,0.42857142857142855,0.20238095238095238,0.18379684154522832,higher_better
2026-06-15,days_since_d0,66,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.0,,flat
2026-06-16,days_since_d0,96,0.4375,0.4375,0.4375,0.0,,flat
2026-06-17,days_since_d0,169,0.3609467455621302,0.37777777777777777,0.34177215189873417,0.0360056258790436,0.037404888948083394,higher_better
2026-06-18,days_since_d0,210,0.37142857142857144,0.37037037037037035,0.4,-0.029629629629629672,-0.020538439354404168,lower_better
2026-06-23,days_since_d0,91,0.43956043956043955,0.43956043956043955,0.43956043956043955,0.0,,flat
2026-06-24,days_since_d0,155,0.27741935483870966,0.32941176470588235,0.21428571428571427,0.11512605042016807,0.12796430712916798,higher_better
2026-06-25,days_since_d0,215,0.20465116279069767,0.16883116883116883,0.35714285714285715,-0.18831168831168832,-0.1874268566951831,lower_better
2026-06-08,entry_width_score,48,0.22916666666666666,0.4117647058823529,0.16666666666666666,0.24509803921568626,0.3255949553264117,higher_better
2026-06-09,entry_width_score,35,0.37142857142857144,0.2777777777777778,0.47058823529411764,-0.19281045751633985,-0.07365513169437322,lower_better
2026-06-10,entry_width_score,118,0.2966101694915254,0.3018867924528302,0.2923076923076923,0.009579100145137853,0.09352991842467567,higher_better
2026-06-11,entry_width_score,171,0.3216374269005848,0.36764705882352944,0.2912621359223301,0.07638492290119936,0.05490524397383972,higher_better
2026-06-12,entry_width_score,174,0.5229885057471264,0.4576271186440678,0.4857142857142857,-0.02808716707021791,0.10447947758592781,lower_better
2026-06-15,entry_width_score,66,0.15151515151515152,0.14705882352941177,0.15625,-0.00919117647058823,-0.06348448955209576,lower_better
2026-06-16,entry_width_score,96,0.4375,0.45098039215686275,0.4222222222222222,0.02875816993464053,0.07755873644822418,higher_better
2026-06-17,entry_width_score,169,0.3609467455621302,0.3838383838383838,0.32857142857142857,0.05526695526695524,0.07911410086396073,higher_better
2026-06-18,entry_width_score,210,0.37142857142857144,0.3904761904761905,0.3523809523809524,0.03809523809523807,0.02434615416960385,higher_better
