event_id,signal_date,code,board_group,stage1_score,stage1_rank,top1,top2,top3,d2_date,d3_date,d2_open_daily,d3_high_daily,target7,positive_non_target,loss,severe_loss,raw_repair_return,capped_return_7
000601_2026-07-03,2026-07-03,000601,BOARD2,0.543292505962,11,False,False,False,2026-07-06,2026-07-07,6.66,7,0,1,0,0,0.0510510510511,0.0510510510511
001313_2026-07-03,2026-07-03,001313,BOARD2,0.539033696381,12,False,False,False,2026-07-06,2026-07-07,7.89,8.11,0,1,0,0,0.0278833967047,0.0278833967047
002979_2026-07-06,2026-07-06,002979,BOARD2,0.554017622405,1,True,True,True,2026-07-07,2026-07-08,72.85,68.58,0,0,1,1,-0.0586135895676,-0.0586135895676
603580_2026-07-06,2026-07-06,603580,BOARD2,0.549420187065,2,False,True,True,2026-07-14,2026-07-15,33.75,37.13,1,0,0,0,0.100148148148,0.07
603338_2026-07-06,2026-07-06,603338,BOARD2,0.54017091369,3,False,False,True,2026-07-07,2026-07-08,53,53.2,0,1,0,0,0.00377358490566,0.00377358490566
600988_2026-07-06,2026-07-06,600988,BOARD2,0.53595581249,4,False,False,False,2026-07-07,2026-07-08,30.31,32.05,0,1,0,0,0.0574067964368,0.0574067964368
605189_2026-07-06,2026-07-06,605189,BOARD3,0.534100646178,5,False,False,False,2026-07-07,2026-07-08,15.31,14.66,0,0,1,0,-0.0424559111692,-0.0424559111692
000908_2026-07-06,2026-07-06,000908,BOARD2,0.530602262704,6,False,False,False,2026-07-07,2026-07-08,6.91,7.19,0,1,0,0,0.040520984081,0.040520984081
603286_2026-07-06,2026-07-06,603286,BOARD2,0.527516923041,7,False,False,False,2026-07-07,2026-07-08,54.57,54.2,0,0,1,0,-0.00678028220634,-0.00678028220634
000576_2026-07-06,2026-07-06,000576,BOARD2,0.511712951128,8,False,False,False,2026-07-07,2026-07-08,7.55,7.38,0,0,1,0,-0.0225165562914,-0.0225165562914
000506_2026-07-06,2026-07-06,000506,BOARD2,0.509867451232,9,False,False,False,2026-07-07,2026-07-08,11.8,13.42,1,0,0,0,0.137288135593,0.07
603559_2026-07-06,2026-07-06,603559,BOARD2,0.509038425414,10,False,False,False,2026-07-07,2026-07-08,8.82,8.5,0,0,1,0,-0.0362811791383,-0.0362811791383
603717_2026-07-06,2026-07-06,603717,BOARD2,0.507202102838,11,False,False,False,2026-07-07,2026-07-08,6.83,6.73,0,0,1,0,-0.0146412884334,-0.0146412884334
000595_2026-07-06,2026-07-06,000595,BOARD2,0.50600896311,12,False,False,False,2026-07-07,2026-07-08,6.11,5.85,0,0,1,0,-0.0425531914894,-0.0425531914894
001317_2026-07-06,2026-07-06,001317,BOARD2,0.505942652572,13,False,False,False,2026-07-07,2026-07-08,42.37,46.7,1,0,0,0,0.102194949257,0.07
603722_2026-07-07,2026-07-07,603722,BOARD2,0.595649888206,1,True,True,True,2026-07-08,2026-07-09,41,41.86,0,1,0,0,0.0209756097561,0.0209756097561
002396_2026-07-07,2026-07-07,002396,BOARD2,0.576490895363,2,False,True,True,2026-07-08,2026-07-09,27.66,29.2,0,1,0,0,0.0556760665221,0.0556760665221
000656_2026-07-07,2026-07-07,000656,BOARD3,0.559111237139,3,False,False,True,2026-07-08,2026-07-09,1.31,1.36,0,1,0,0,0.0381679389313,0.0381679389313
002767_2026-07-07,2026-07-07,002767,BOARD2,0.557992986541,4,False,False,False,2026-07-08,2026-07-09,18.49,18.88,0,1,0,0,0.0210924824229,0.0210924824229
603211_2026-07-07,2026-07-07,603211,BOARD2,0.555668458107,5,False,False,False,2026-07-08,2026-07-09,36.65,36.38,0,0,1,0,-0.00736698499318,-0.00736698499318
002141_2026-07-07,2026-07-07,002141,BOARD2,0.553249849054,6,False,False,False,2026-07-08,2026-07-09,5.8,5.65,0,0,1,0,-0.0258620689655,-0.0258620689655
603823_2026-07-08,2026-07-08,603823,BOARD2,0.599692201188,1,True,True,True,2026-07-09,2026-07-10,68.82,72.27,0,1,0,0,0.0501307759372,0.0501307759372
603861_2026-07-08,2026-07-08,603861,BOARD2,0.565975102587,2,False,True,True,2026-07-09,2026-07-10,13.03,13.59,0,1,0,0,0.0429777436685,0.0429777436685
600246_2026-07-08,2026-07-08,600246,BOARD2,0.559995332951,3,False,False,True,2026-07-09,2026-07-10,19.36,21.31,1,0,0,0,0.100723140496,0.07
600288_2026-07-09,2026-07-09,600288,BOARD3,0.597150577359,1,True,True,True,2026-07-10,2026-07-13,16.53,17.35,0,1,0,0,0.0496067755596,0.0496067755596
001229_2026-07-09,2026-07-09,001229,BOARD2,0.580276246901,2,False,True,True,2026-07-10,2026-07-13,46.1,49.6,1,0,0,0,0.0759219088937,0.07
001365_2026-07-09,2026-07-09,001365,BOARD2,0.57077637214,3,False,False,True,2026-07-10,2026-07-13,44.97,48.78,1,0,0,0,0.0847231487658,0.07
600094_2026-07-09,2026-07-09,600094,BOARD2,0.54972530661,4,False,False,False,2026-07-10,2026-07-13,3.91,4.02,0,1,0,0,0.0281329923274,0.0281329923274
002951_2026-07-09,2026-07-09,002951,BOARD2,0.545592325844,5,False,False,False,2026-07-10,2026-07-13,14.93,14.38,0,0,1,0,-0.0368385800402,-0.0368385800402
002841_2026-07-10,2026-07-10,002841,BOARD3,0.582733262398,1,True,True,True,2026-07-13,2026-07-14,51.51,52.3,0,1,0,0,0.0153368278004,0.0153368278004
000977_2026-07-10,2026-07-10,000977,BOARD2,0.579299193401,2,False,True,True,2026-07-13,2026-07-14,91,88.38,0,0,1,0,-0.0287912087912,-0.0287912087912
603928_2026-07-10,2026-07-10,603928,BOARD2,0.559280261029,3,False,False,True,2026-07-13,2026-07-14,16.94,16.3,0,0,1,0,-0.0377804014168,-0.0377804014168
002490_2026-07-10,2026-07-10,002490,BOARD2,0.559183566146,4,False,False,False,2026-07-13,2026-07-14,7.7,9.07,1,0,0,0,0.177922077922,0.07
002829_2026-07-13,2026-07-13,002829,BOARD2,0.559245443214,1,True,True,True,2026-07-14,2026-07-15,19,18.16,0,0,1,0,-0.0442105263158,-0.0442105263158
000892_2026-07-13,2026-07-13,000892,BOARD2,0.548088061666,2,False,True,True,2026-07-14,2026-07-15,4.05,3.52,0,0,1,1,-0.130864197531,-0.130864197531
000887_2026-07-13,2026-07-13,000887,BOARD2,0.526713170815,3,False,False,True,2026-07-14,2026-07-15,19.94,19.63,0,0,1,0,-0.0155466399198,-0.0155466399198
002414_2026-07-13,2026-07-13,002414,BOARD2,0.525860119482,4,False,False,False,2026-07-14,2026-07-15,13.79,13.77,0,0,1,0,-0.00145032632342,-0.00145032632342
002346_2026-07-13,2026-07-13,002346,BOARD2,0.518964624484,5,False,False,False,2026-07-14,2026-07-15,20.34,21.19,0,1,0,0,0.0417895771878,0.0417895771878
603898_2026-07-13,2026-07-13,603898,BOARD2,0.504356988082,6,False,False,False,2026-07-14,2026-07-15,14.83,14.3,0,0,1,0,-0.0357383681726,-0.0357383681726
003020_2026-07-14,2026-07-14,003020,BOARD3,0.602253196668,1,True,True,True,2026-07-15,2026-07-16,18.72,21.9,1,0,0,0,0.169871794872,0.07
001395_2026-07-14,2026-07-14,001395,BOARD3,0.581389014827,2,False,True,True,2026-07-15,2026-07-16,28.84,32.7,1,0,0,0,0.133841886269,0.07
600513_2026-07-14,2026-07-14,600513,BOARD2,0.567964237233,3,False,False,True,2026-07-15,2026-07-16,16.99,19,1,0,0,0,0.118304885227,0.07
600629_2026-07-14,2026-07-14,600629,BOARD2,0.565072907806,4,False,False,False,2026-07-15,2026-07-16,13.67,14.07,0,1,0,0,0.0292611558157,0.0292611558157
605090_2026-07-14,2026-07-14,605090,BOARD2,0.559015046952,5,False,False,False,2026-07-15,2026-07-16,38.52,39.7,0,1,0,0,0.0306334371755,0.0306334371755
600992_2026-07-14,2026-07-14,600992,BOARD3,0.557542890499,6,False,False,False,2026-07-15,2026-07-16,10.28,11.56,1,0,0,0,0.124513618677,0.07
601608_2026-07-14,2026-07-14,601608,BOARD2,0.544815748065,7,False,False,False,2026-07-15,2026-07-16,4.9,5.01,0,1,0,0,0.0224489795918,0.0224489795918
000920_2026-07-14,2026-07-14,000920,BOARD2,0.544225211348,8,False,False,False,2026-07-15,2026-07-16,13.9,14.15,0,1,0,0,0.0179856115108,0.0179856115108
002379_2026-07-15,2026-07-15,002379,BOARD2,0.606227913473,1,True,True,True,2026-07-16,2026-07-17,18.19,18.86,0,1,0,0,0.0368334249588,0.0368334249588
603065_2026-07-15,2026-07-15,603065,BOARD2,0.564681107583,2,False,True,True,2026-07-16,2026-07-17,19.07,17.16,0,0,1,1,-0.100157315155,-0.100157315155
001388_2026-07-16,2026-07-16,001388,BOARD3,0.590385310201,1,True,True,True,2026-07-17,2026-07-20,20.9,26.75,1,0,0,0,0.27990430622,0.07
600829_2026-07-16,2026-07-16,600829,BOARD2,0.584442350544,2,False,True,True,2026-07-17,2026-07-20,9.6,9.09,0,0,1,1,-0.053125,-0.053125
002432_2026-07-16,2026-07-16,002432,BOARD2,0.577803808853,3,False,False,True,2026-07-17,2026-07-20,79.2,87.12,1,0,0,0,0.1,0.07
603137_2026-07-16,2026-07-16,603137,BOARD3,0.573656924794,4,False,False,False,2026-07-17,2026-07-20,28.85,31.74,1,0,0,0,0.100173310225,0.07
600746_2026-07-16,2026-07-16,600746,BOARD2,0.566262364754,5,False,False,False,2026-07-17,2026-07-20,6.12,6.64,1,0,0,0,0.0849673202614,0.07
605028_2026-07-16,2026-07-16,605028,BOARD2,0.562270837541,6,False,False,False,2026-07-17,2026-07-20,23.82,24.28,0,1,0,0,0.0193115029387,0.0193115029387
600844_2026-07-16,2026-07-16,600844,BOARD2,0.558565185924,7,False,False,False,2026-07-17,2026-07-20,2.82,2.98,0,1,0,0,0.0567375886525,0.0567375886525
605255_2026-07-16,2026-07-16,605255,BOARD2,0.555234700195,8,False,False,False,2026-07-17,2026-07-20,77.61,69.95,0,0,1,1,-0.0986986213117,-0.0986986213117
600227_2026-07-16,2026-07-16,600227,BOARD2,0.550861527621,9,False,False,False,2026-07-17,2026-07-20,2.8,3.37,1,0,0,0,0.203571428571,0.07
002141_2026-07-16,2026-07-16,002141,BOARD2,0.547503622438,10,False,False,False,2026-07-17,2026-07-20,5.95,5.44,0,0,1,1,-0.0857142857143,-0.0857142857143
605189_2026-07-16,2026-07-16,605189,BOARD2,0.544246155678,11,False,False,False,2026-07-17,2026-07-20,15.3,15.08,0,0,1,0,-0.0143790849673,-0.0143790849673
600403_2026-07-16,2026-07-16,600403,BOARD2,0.542138704854,12,False,False,False,2026-07-17,2026-07-20,5.08,5.28,0,1,0,0,0.0393700787402,0.0393700787402
