model_head,factor,bucket,bucket_n,bucket_target7_rate,bucket_tail_rate,bucket_avg_close_return
post_tail,d1_close_to_ma5_raw,1,277,0.30324909747292417,0.33574007220216606,-0.006040883373887268
post_tail,ma5_gap_clipped,0,171,0.38011695906432746,0.3508771929824561,0.00586016041260325
post_tail,ma5_gap_clipped,1,277,0.30324909747292417,0.33574007220216606,-0.006040883373887268
post_tail,ma5_below_minus_2_hinge,0,331,0.3202416918429003,0.3413897280966767,-0.0038887190658869614
post_tail,ma5_below_minus_2_hinge,1,117,0.36752136752136755,0.3418803418803419,0.005264348263221937
post_tail,ma5_above_5_hinge,0,322,0.35714285714285715,0.32608695652173914,0.00306153636938268
post_tail,ma5_above_5_hinge,1,126,0.2698412698412698,0.38095238095238093,-0.013151206150419373
post_tail,ma5_above_10_hinge,0,410,0.33414634146341465,0.32926829268292684,4.8875380531122314e-05
post_tail,ma5_above_10_hinge,1,38,0.3157894736842105,0.47368421052631576,-0.018191478158667854
post_tail,d1_true_reclaim_ma5,0,324,0.3425925925925926,0.345679012345679,0.0004647624923208774
post_tail,d1_true_reclaim_ma5,1,124,0.3064516129032258,0.33064516129032256,-0.006627583157448245
post_tail,d1_close_to_ma5_bucket,above_plus_10pct,38,0.3157894736842105,0.47368421052631576,-0.018191478158667854
post_tail,d1_close_to_ma5_bucket,below_minus_5pct,51,0.45098039215686275,0.27450980392156865,0.009919703368553343
post_tail,d1_close_to_ma5_bucket,minus_5_to_minus_2pct,66,0.30303030303030304,0.3939393939393939,0.0016670284091022149
post_tail,d1_close_to_ma5_bucket,near_ma5,115,0.3217391304347826,0.391304347826087,-0.008097463738168983
post_tail,d1_close_to_ma5_bucket,plus_2_to_plus_5pct,90,0.3888888888888889,0.2222222222222222,0.014456603267040994
post_tail,d1_close_to_ma5_bucket,plus_5_to_plus_10pct,88,0.25,0.3409090909090909,-0.010974725055948441
post_tail,d1_open_to_close_return_raw,0,255,0.3607843137254902,0.33725490196078434,0.0023762822197285756
post_tail,d1_open_to_close_return_raw,1,193,0.29533678756476683,0.3471502590673575,-0.00661756077742179
post_tail,d1_oc_return_clipped,0,255,0.3607843137254902,0.33725490196078434,0.0023762822197285756
post_tail,d1_oc_return_clipped,1,193,0.29533678756476683,0.3471502590673575,-0.00661756077742179
post_tail,d1_repair_above_2_hinge,0,318,0.3584905660377358,0.3333333333333333,0.002723453629247413
post_tail,d1_repair_above_2_hinge,1,130,0.2692307692307692,0.36153846153846153,-0.011825350139325352
post_tail,d1_repair_above_5_flag,0,390,0.3435897435897436,0.3384615384615385,0.0009539712331559247
post_tail,d1_repair_above_5_flag,1,58,0.25862068965517243,0.3620689655172414,-0.01798769043004187
post_tail,d1_open_to_close_bucket,above_plus_5pct,58,0.25862068965517243,0.3620689655172414,-0.01798769043004187
