model_head,factor_name,mathematical_expression,effective_degrees_of_freedom,coverage,univariate_auc,june_direction,july_direction,temporal_direction_consistency,max_abs_correlation,target7_interpretation,tail_interpretation,decision,reason
d0_tail,break_close_location,(break_close - break_low) / (break_high - break_low),1,0.9929,0.4664039408866995,down,down,0.6666666666666666,1.0,桶率 0.43 0.32,桶尾 0.26 0.27,AUDIT_ONLY,"auc=0.466 低于 0.51, 证据弱"
d0_tail,d1_close_to_vwap_raw,d1_close / d1_vwap - 1,1,1.0,0.45607585139318885,down,down,1.0,0.8923585164643012,桶率 0.33 0.33,桶尾 0.29 0.25,AUDIT_ONLY,"auc=0.456 低于 0.51, 证据弱"
post_target,d1_high_to_close_drawdown_raw,(d1_high - d1_close) / d1_high,1,1.0,0.5745998967475477,up,up,1.0,0.8558123490038941,桶率 0.56 0.33,桶尾 0.33 0.34,ADMIT_PRIMARY,auc=0.575 方向一致率=1.00
post_target,volume_above_d1_close_ratio,Σvol(bar close >= d1_close) / Σvol,1,1.0,0.5733204641871114,up,up,1.0,0.9003788281589533,桶率 0.33,桶尾 0.34,ADMIT_PRIMARY,auc=0.573 方向一致率=1.00
post_target,down_bar_volume_ratio,Σvol(close<open) / Σvol,1,1.0,0.526609952638549,up,up,1.0,0.7038787325454693,桶率 0.67 0.33,桶尾 0.33 0.34,ADMIT_PRIMARY,"补充: auc=0.527 方向一致率=1.00 (为达到最低 4 因子表达; 证据弱, 需 walk-forward 验证)"
post_target,ma5_below_minus_2_hinge,"max(-0.02 - d1_close_to_ma5_raw, 0)",1,1.0,0.5260263518215079,flat,up,0.6666666666666666,0.7724516190674066,桶率 0.32 0.37,桶尾 0.34 0.34,ADMIT_PRIMARY,"补充: auc=0.526 方向一致率=0.67 (为达到最低 4 因子表达; 证据弱, 需 walk-forward 验证)"
post_target,break_volume_distance_from_one,abs(log(break_volume_ratio_vs_board_days)),1,1.0,0.5243877802967386,flat,up,0.6666666666666666,0.9593070351297045,桶率 0.33,桶尾 0.34,ADMIT_ALTERNATIVE,"auc=0.524 中等, 作备用"
post_target,break_volume_ratio_vs_board_days,break_volume / mean(板日volume),1,1.0,0.5192027114991807,flat,up,0.6666666666666666,1.0,桶率 0.33,桶尾 0.34,ADMIT_ALTERNATIVE,"auc=0.519 中等, 作备用"
post_target,break_volume_log_ratio,"log(max(break_volume_ratio_vs_board_days, 1e-9))",1,1.0,0.5192027114991807,flat,up,0.6666666666666666,1.0,桶率 0.47 0.32,桶尾 0.25 0.35,ADMIT_ALTERNATIVE,"auc=0.519 中等, 作备用"
post_target,break_close_location,(break_close - break_low) / (break_high - break_low),1,0.9933,0.5043715472766288,up,down,0.3333333333333333,0.8471394016062408,桶率 0.43 0.32,桶尾 0.32 0.34,AUDIT_ONLY,"auc=0.504 低于 0.51, 证据弱"
