D0,code,pool_member_count,members_with_daily_volume,members_missing_daily_volume,rank_denominator_complete,event_id,signal_date
2026-06-16,002990,109,109,0,True,002990_2026-06-17,2026-06-17
2026-06-16,600545,109,109,0,True,600545_2026-06-17,2026-06-17
2026-06-16,600549,109,109,0,True,600549_2026-06-17,2026-06-17
2026-06-16,600703,109,109,0,True,600703_2026-06-17,2026-06-17
2026-06-16,601179,109,109,0,True,601179_2026-06-17,2026-06-17
2026-06-16,603045,109,109,0,True,603045_2026-06-17,2026-06-17
2026-06-16,603256,109,109,0,True,603256_2026-06-17,2026-06-17
2026-06-16,603516,109,109,0,True,603516_2026-06-17,2026-06-17
2026-06-16,605198,109,109,0,True,605198_2026-06-17,2026-06-17
2026-06-16,605289,109,109,0,True,605289_2026-06-17,2026-06-17
2026-06-17,000679,68,68,0,True,000679_2026-06-18,2026-06-18
2026-06-17,000777,68,68,0,True,000777_2026-06-18,2026-06-18
2026-06-17,002080,68,68,0,True,002080_2026-06-18,2026-06-18
2026-06-17,002484,68,68,0,True,002484_2026-06-18,2026-06-18
2026-06-17,002741,68,68,0,True,002741_2026-06-18,2026-06-18
2026-06-17,600110,68,68,0,True,600110_2026-06-18,2026-06-18
2026-06-17,600186,68,68,0,True,600186_2026-06-18,2026-06-18
2026-06-17,600192,68,68,0,True,600192_2026-06-18,2026-06-18
2026-06-17,600615,68,68,0,True,600615_2026-06-18,2026-06-18
2026-06-17,600707,68,68,0,True,600707_2026-06-18,2026-06-18
2026-06-17,601636,68,68,0,True,601636_2026-06-18,2026-06-18
2026-06-17,603002,68,68,0,True,603002_2026-06-18,2026-06-18
2026-06-17,603115,68,68,0,True,603115_2026-06-18,2026-06-18
2026-06-17,603186,68,68,0,True,603186_2026-06-18,2026-06-18
2026-06-17,603773,68,68,0,True,603773_2026-06-18,2026-06-18
2026-06-18,001339,77,77,0,True,001339_2026-06-22,2026-06-22
2026-06-18,002141,77,77,0,True,002141_2026-06-22,2026-06-22
2026-06-18,002491,77,77,0,True,002491_2026-06-22,2026-06-22
2026-06-18,002579,77,77,0,True,002579_2026-06-22,2026-06-22
2026-06-18,002989,77,77,0,True,002989_2026-06-22,2026-06-22
2026-06-18,603261,77,77,0,True,603261_2026-06-22,2026-06-22
2026-06-18,603324,77,77,0,True,603324_2026-06-22,2026-06-22
2026-06-22,000657,122,122,0,True,000657_2026-06-23,2026-06-23
2026-06-22,000811,122,122,0,True,000811_2026-06-23,2026-06-23
2026-06-22,001296,122,122,0,True,001296_2026-06-23,2026-06-23
2026-06-22,002297,122,122,0,True,002297_2026-06-23,2026-06-23
2026-06-22,002354,122,122,0,True,002354_2026-06-23,2026-06-23
2026-06-22,002655,122,122,0,True,002655_2026-06-23,2026-06-23
2026-06-22,002805,122,122,0,True,002805_2026-06-23,2026-06-23
2026-06-22,002842,122,122,0,True,002842_2026-06-23,2026-06-23
2026-06-22,003031,122,122,0,True,003031_2026-06-23,2026-06-23
2026-06-22,600162,122,122,0,True,600162_2026-06-23,2026-06-23
2026-06-22,600769,122,122,0,True,600769_2026-06-23,2026-06-23
2026-06-22,603082,122,122,0,True,603082_2026-06-23,2026-06-23
2026-06-22,603380,122,122,0,True,603380_2026-06-23,2026-06-23
2026-06-22,603663,122,122,0,True,603663_2026-06-23,2026-06-23
2026-06-23,000070,89,89,0,True,000070_2026-06-24,2026-06-24
2026-06-23,000571,89,89,0,True,000571_2026-06-24,2026-06-24
2026-06-23,000783,89,89,0,True,000783_2026-06-24,2026-06-24
2026-06-23,002068,89,89,0,True,002068_2026-06-24,2026-06-24
2026-06-23,002672,89,89,0,True,002672_2026-06-24,2026-06-24
2026-06-23,002830,89,89,0,True,002830_2026-06-24,2026-06-24
2026-06-23,600172,89,89,0,True,600172_2026-06-24,2026-06-24
2026-06-23,600322,89,89,0,True,600322_2026-06-24,2026-06-24
2026-06-23,600400,89,89,0,True,600400_2026-06-24,2026-06-24
2026-06-23,600470,89,89,0,True,600470_2026-06-24,2026-06-24
2026-06-23,600851,89,89,0,True,600851_2026-06-24,2026-06-24
2026-06-23,601869,89,89,0,True,601869_2026-06-24,2026-06-24
2026-06-23,603757,89,89,0,True,603757_2026-06-24,2026-06-24
2026-06-23,605377,89,89,0,True,605377_2026-06-24,2026-06-24
2026-06-23,605580,89,89,0,True,605580_2026-06-24,2026-06-24
2026-06-24,000566,88,88,0,True,000566_2026-06-25,2026-06-25
2026-06-24,002580,88,88,0,True,002580_2026-06-25,2026-06-25
2026-06-24,002584,88,88,0,True,002584_2026-06-25,2026-06-25
2026-06-24,002631,88,88,0,True,002631_2026-06-25,2026-06-25
2026-06-24,002687,88,88,0,True,002687_2026-06-25,2026-06-25
2026-06-24,600379,88,88,0,True,600379_2026-06-25,2026-06-25
2026-06-24,600909,88,88,0,True,600909_2026-06-25,2026-06-25
2026-06-24,603938,88,88,0,True,603938_2026-06-25,2026-06-25
2026-06-24,605069,88,88,0,True,605069_2026-06-25,2026-06-25
2026-06-25,000818,78,78,0,True,000818_2026-06-26,2026-06-26
2026-06-25,002025,78,78,0,True,002025_2026-06-26,2026-06-26
2026-06-25,002080,78,78,0,True,002080_2026-06-26,2026-06-26
2026-06-25,002254,78,78,0,True,002254_2026-06-26,2026-06-26
2026-06-25,002990,78,78,0,True,002990_2026-06-26,2026-06-26
2026-06-25,600141,78,78,0,True,600141_2026-06-26,2026-06-26
2026-06-25,600584,78,78,0,True,600584_2026-06-26,2026-06-26
2026-06-25,600667,78,78,0,True,600667_2026-06-26,2026-06-26
2026-06-25,603678,78,78,0,True,603678_2026-06-26,2026-06-26
2026-06-25,603713,78,78,0,True,603713_2026-06-26,2026-06-26
2026-06-25,603929,78,78,0,True,603929_2026-06-26,2026-06-26
2026-06-25,603989,78,78,0,True,603989_2026-06-26,2026-06-26
2026-06-26,000823,52,52,0,True,000823_2026-06-29,2026-06-29
2026-06-26,002141,52,52,0,True,002141_2026-06-29,2026-06-29
2026-06-26,002965,52,52,0,True,002965_2026-06-29,2026-06-29
2026-06-26,600228,52,52,0,True,600228_2026-06-29,2026-06-29
2026-06-26,600962,52,52,0,True,600962_2026-06-29,2026-06-29
2026-06-29,002180,91,91,0,True,002180_2026-06-30,2026-06-30
2026-06-29,002568,91,91,0,True,002568_2026-06-30,2026-06-30
2026-06-29,601133,91,91,0,True,601133_2026-06-30,2026-06-30
2026-06-29,603155,91,91,0,True,603155_2026-06-30,2026-06-30
2026-06-29,603163,91,91,0,True,603163_2026-06-30,2026-06-30
2026-06-29,603650,91,91,0,True,603650_2026-06-30,2026-06-30
2026-06-29,603956,91,91,0,True,603956_2026-06-30,2026-06-30
