event_id,code,name,signal_date,break_date,recognition_score,is_v004a_scorable,v004a_probability,v004a_rank,is_v004a_top3,is_v004a_top10,is_v004a_top15,is_v002_scorable,v002_rank,is_v002_top3,is_v002_top10,is_v002_top15,v004a_score_source
603045_2026-06-17,603045,福达合金,2026-06-17,2026-06-17,0.6952380952380953,True,0.3948622826911033,124.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603256_2026-06-17,603256,宏和科技,2026-06-17,2026-06-17,0.4444444444444444,True,0.4893529689379386,1.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
603516_2026-06-17,603516,淳中科技,2026-06-17,2026-06-17,0.3523809523809524,True,0.4455816908088768,41.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
605198_2026-06-17,605198,安德利,2026-06-17,2026-06-17,0.4857142857142857,True,0.4767686952828275,9.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
605289_2026-06-17,605289,罗曼股份,2026-06-17,2026-06-17,0.4539682539682539,True,0.4846288344952082,4.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
000679_2026-06-18,000679,大连友谊,2026-06-18,2026-06-18,0.3482587064676616,True,0.4599221782759992,35.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000777_2026-06-18,000777,中核科技,2026-06-18,2026-06-18,0.8109452736318407,True,0.4650610831552175,24.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002080_2026-06-18,002080,中材科技,2026-06-18,2026-06-18,0.6915422885572139,True,0.4918678188389568,4.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002484_2026-06-18,002484,江海股份,2026-06-18,2026-06-18,,True,0.4696839768825766,18.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002741_2026-06-18,002741,光华科技,2026-06-18,2026-06-18,0.4228855721393034,True,0.478720783854668,10.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600110_2026-06-18,600110,诺德股份,2026-06-18,2026-06-18,0.2039800995024875,True,0.4736731733520327,15.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
600186_2026-06-18,600186,莲花控股,2026-06-18,2026-06-18,0.8606965174129354,True,0.47422874639716,14.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
600192_2026-06-18,600192,长城电工,2026-06-18,2026-06-18,0.4228855721393034,True,0.438067270929882,66.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600615_2026-06-18,600615,鑫源智造,2026-06-18,2026-06-18,0.308457711442786,True,0.4438322662633402,57.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600707_2026-06-18,600707,彩虹股份,2026-06-18,2026-06-18,0.7562189054726368,True,0.4019396053025563,130.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
601636_2026-06-18,601636,旗滨集团,2026-06-18,2026-06-18,0.4228855721393034,True,0.4398614440778668,63.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603002_2026-06-18,603002,宏昌电子,2026-06-18,2026-06-18,0.6716417910447761,True,0.4902274366425228,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
603115_2026-06-18,603115,海星股份,2026-06-18,2026-06-18,0.1840796019900497,False,,,False,False,False,False,,False,False,False,
603186_2026-06-18,603186,华正新材,2026-06-18,2026-06-18,0.6218905472636816,True,0.4943165073021167,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
603773_2026-06-18,603773,沃格光电,2026-06-18,2026-06-18,0.4477611940298507,True,0.4353231555589505,69.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
001339_2026-06-22,001339,智微智能,2026-06-22,2026-06-22,0.4545454545454546,False,,,False,False,False,False,,False,False,False,
002141_2026-06-22,002141,贤丰控股,2026-06-22,2026-06-22,0.5281385281385281,False,,,False,False,False,False,,False,False,False,
002491_2026-06-22,002491,通鼎互联,2026-06-22,2026-06-22,0.6406926406926408,False,,,False,False,False,False,,False,False,False,
002579_2026-06-22,002579,中京电子,2026-06-22,2026-06-22,0.7835497835497836,False,,,False,False,False,False,,False,False,False,
002989_2026-06-22,002989,中天精装,2026-06-22,2026-06-22,0.5974025974025974,False,,,False,False,False,False,,False,False,False,
603261_2026-06-22,603261,立航科技,2026-06-22,2026-06-22,0.0995670995670995,False,,,False,False,False,False,,False,False,False,
603324_2026-06-22,603324,盛剑科技,2026-06-22,2026-06-22,0.6017316017316018,False,,,False,False,False,False,,False,False,False,
000657_2026-06-23,000657,中钨高新,2026-06-23,2026-06-23,0.7086834733893558,True,0.4810391976434954,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
000811_2026-06-23,000811,冰轮环境,2026-06-23,2026-06-23,0.700280112044818,True,0.4748414068545224,10.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
001296_2026-06-23,001296,长江材料,2026-06-23,2026-06-23,0.4453781512605042,False,,,False,False,False,False,,False,False,False,
002297_2026-06-23,002297,博云新材,2026-06-23,2026-06-23,0.5238095238095238,True,0.4590701299016531,28.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002354_2026-06-23,002354,天娱数科,2026-06-23,2026-06-23,0.8907563025210083,True,0.3913720241438054,89.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002655_2026-06-23,002655,共达电声,2026-06-23,2026-06-23,0.5182072829131653,False,,,False,False,False,False,,False,False,False,
002805_2026-06-23,002805,丰元股份,2026-06-23,2026-06-23,0.6274509803921569,True,0.4771083352384613,6.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002842_2026-06-23,002842,翔鹭钨业,2026-06-23,2026-06-23,0.84593837535014,True,0.4474704493464342,33.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
003031_2026-06-23,003031,中瓷电子,2026-06-23,2026-06-23,0.2969187675070028,False,,,False,False,False,False,,False,False,False,
600162_2026-06-23,600162,香江控股,2026-06-23,2026-06-23,0.6946778711484592,True,0.4231980167257506,52.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600769_2026-06-23,600769,祥龙电业,2026-06-23,2026-06-23,0.5966386554621849,True,0.476986122571007,8.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
603082_2026-06-23,603082,北自科技,2026-06-23,2026-06-23,0.3949579831932773,True,0.4693237877703006,17.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603380_2026-06-23,603380,易德龙,2026-06-23,2026-06-23,,False,,,False,False,False,False,,False,False,False,
603663_2026-06-23,603663,三祥新材,2026-06-23,2026-06-23,0.5210084033613446,True,0.4833764665653433,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
000070_2026-06-24,000070,特发信息,2026-06-24,2026-06-24,0.9147286821705426,True,0.5033668863719019,3.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
000571_2026-06-24,000571,新大洲A,2026-06-24,2026-06-24,0.751937984496124,True,0.4760599514273412,23.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000783_2026-06-24,000783,长江证券,2026-06-24,2026-06-24,0.7984496124031008,True,0.4821043843464955,14.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
002068_2026-06-24,002068,黑猫股份,2026-06-24,2026-06-24,0.8837209302325583,True,0.4645414445007941,32.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002672_2026-06-24,002672,东江环保,2026-06-24,2026-06-24,0.5038759689922481,True,0.4197126344862698,95.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002830_2026-06-24,002830,名雕股份,2026-06-24,2026-06-24,0.5658914728682171,True,0.4702570644861034,28.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600172_2026-06-24,600172,黄河旋风,2026-06-24,2026-06-24,0.9844961240310076,True,0.4949253241171972,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600322_2026-06-24,600322,津投城开,2026-06-24,2026-06-24,,False,,,False,False,False,False,,False,False,False,
600400_2026-06-24,600400,红豆股份,2026-06-24,2026-06-24,0.624031007751938,True,0.4409255809037796,59.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600470_2026-06-24,600470,六国化工,2026-06-24,2026-06-24,0.8527131782945737,True,0.448554669501954,51.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600851_2026-06-24,600851,海欣股份,2026-06-24,2026-06-24,0.5891472868217055,True,0.4799090809378517,19.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
601869_2026-06-24,601869,长飞光纤,2026-06-24,2026-06-24,0.624031007751938,True,0.5047040587151885,1.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
603757_2026-06-24,603757,大元泵业,2026-06-24,2026-06-24,0.3914728682170543,True,0.5039362176413161,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
605377_2026-06-24,605377,华旺科技,2026-06-24,2026-06-24,0.2480620155038759,True,0.4581115355768888,42.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
605580_2026-06-24,605580,恒盛能源,2026-06-24,2026-06-24,0.6782945736434108,True,0.4406636714610105,61.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000566_2026-06-25,000566,海南海药,2026-06-25,2026-06-25,0.2808988764044943,True,0.4508844240646327,63.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002580_2026-06-25,002580,圣阳股份,2026-06-25,2026-06-25,0.8651685393258427,True,0.4765310433609809,34.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002584_2026-06-25,002584,西陇科学,2026-06-25,2026-06-25,0.1235955056179775,False,,,False,False,False,False,,False,False,False,
002631_2026-06-25,002631,德尔未来,2026-06-25,2026-06-25,0.6591760299625468,True,0.4829400426395824,26.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002687_2026-06-25,002687,乔治白,2026-06-25,2026-06-25,0.5243445692883895,True,0.430502349300864,101.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600379_2026-06-25,600379,宝光股份,2026-06-25,2026-06-25,0.6891385767790262,True,0.4782364330317514,32.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600909_2026-06-25,600909,华安证券,2026-06-25,2026-06-25,0.8539325842696629,True,0.4819334947199433,27.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603938_2026-06-25,603938,三孚股份,2026-06-25,2026-06-25,0.7340823970037453,True,0.4869100002914784,21.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
605069_2026-06-25,605069,正和生态,2026-06-25,2026-06-25,0.4756554307116105,True,0.4912298620850194,16.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000818_2026-06-26,000818,航锦科技,2026-06-26,2026-06-26,0.2554112554112554,True,0.4479036929076544,64.0,False,False,False,False,,False,False,False,holdout_0626_frozen
002025_2026-06-26,002025,航天电器,2026-06-26,2026-06-26,0.7792207792207791,True,0.4735177497038652,29.0,False,False,False,False,,False,False,False,holdout_0626_frozen
002080_2026-06-26,002080,中材科技,2026-06-26,2026-06-26,0.4978354978354978,True,0.4986895013298063,4.0,False,True,True,False,,False,False,False,holdout_0626_frozen
002254_2026-06-26,002254,泰和新材,2026-06-26,2026-06-26,0.8138528138528139,True,0.4487476656111391,62.0,False,False,False,False,,False,False,False,holdout_0626_frozen
002990_2026-06-26,002990,盛视科技,2026-06-26,2026-06-26,0.3290043290043289,True,0.4980189776049878,5.0,False,True,True,False,,False,False,False,holdout_0626_frozen
600141_2026-06-26,600141,兴发集团,2026-06-26,2026-06-26,0.8528138528138528,True,0.4889689350862468,12.0,False,False,True,False,,False,False,False,holdout_0626_frozen
600584_2026-06-26,600584,长电科技,2026-06-26,2026-06-26,0.7922077922077921,True,0.4966508996292896,8.0,False,True,True,False,,False,False,False,holdout_0626_frozen
600667_2026-06-26,600667,太极实业,2026-06-26,2026-06-26,0.1861471861471861,True,0.4908128201129448,11.0,False,False,True,False,,False,False,False,holdout_0626_frozen
603678_2026-06-26,603678,火炬电子,2026-06-26,2026-06-26,0.3419913419913419,True,0.4844584717360302,16.0,False,False,False,False,,False,False,False,holdout_0626_frozen
603713_2026-06-26,603713,密尔克卫,2026-06-26,2026-06-26,,True,0.476879401043864,28.0,False,False,False,False,,False,False,False,holdout_0626_frozen
603929_2026-06-26,603929,亚翔集成,2026-06-26,2026-06-26,0.1688311688311688,True,0.4834467584050964,19.0,False,False,False,False,,False,False,False,holdout_0626_frozen
603989_2026-06-26,603989,艾华集团,2026-06-26,2026-06-26,0.2077922077922077,True,0.4957923056659005,9.0,False,True,True,False,,False,False,False,holdout_0626_frozen
000823_2026-06-29,000823,超声电子,2026-06-29,2026-06-29,0.8397435897435898,False,,,False,False,False,False,,False,False,False,
002141_2026-06-29,002141,贤丰控股,2026-06-29,2026-06-29,0.8782051282051283,False,,,False,False,False,False,,False,False,False,
002965_2026-06-29,002965,祥鑫科技,2026-06-29,2026-06-29,0.6538461538461539,False,,,False,False,False,False,,False,False,False,
600228_2026-06-29,600228,返利科技,2026-06-29,2026-06-29,0.0256410256410256,True,0.4727327292030676,1.0,True,True,True,False,,False,False,False,holdout_0626_frozen
600962_2026-06-29,600962,国投中鲁,2026-06-29,2026-06-29,0.3397435897435897,False,,,False,False,False,False,,False,False,False,
002180_2026-06-30,002180,奔图科技,2026-06-30,2026-06-30,0.7116104868913857,True,0.4738453069179549,14.0,False,False,True,True,21.0,False,False,False,holdout_0626_frozen
002568_2026-06-30,002568,百润股份,2026-06-30,2026-06-30,0.644194756554307,True,0.4268932462138404,43.0,False,False,False,True,51.0,False,False,False,holdout_0626_frozen
601133_2026-06-30,601133,柏诚股份,2026-06-30,2026-06-30,0.5243445692883896,True,0.4879246052458657,10.0,False,True,True,True,9.0,False,True,True,holdout_0626_frozen
603155_2026-06-30,603155,新亚强,2026-06-30,2026-06-30,0.7116104868913857,True,0.4756789723134631,13.0,False,False,True,True,20.0,False,False,False,holdout_0626_frozen
603163_2026-06-30,603163,圣晖集成,2026-06-30,2026-06-30,0.5730337078651685,True,0.4931783067441843,5.0,False,True,True,True,10.0,False,True,True,holdout_0626_frozen
603650_2026-06-30,603650,彤程新材,2026-06-30,2026-06-30,0.8352059925093632,True,0.4997433287395678,3.0,True,True,True,True,3.0,True,True,True,holdout_0626_frozen
