event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
603335_2026-06-16,603335,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
603516_2026-06-17,603516,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
603738_2026-06-16,603738,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
605198_2026-06-17,605198,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
605289_2026-06-17,605289,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
000679_2026-06-18,000679,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
000777_2026-06-18,000777,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
002051_2026-06-17,002051,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002080_2026-06-18,002080,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
002484_2026-06-18,002484,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
002515_2026-06-17,002515,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002552_2026-06-17,002552,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002585_2026-06-17,002585,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002741_2026-06-18,002741,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
002806_2026-06-17,002806,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002824_2026-06-17,002824,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002851_2026-06-17,002851,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
002990_2026-06-17,002990,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
600110_2026-06-18,600110,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
600186_2026-06-18,600186,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
600192_2026-06-18,600192,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
600545_2026-06-17,600545,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
600615_2026-06-18,600615,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
600707_2026-06-18,600707,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
601636_2026-06-18,601636,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
603045_2026-06-17,603045,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
603115_2026-06-18,603115,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
603186_2026-06-18,603186,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
603256_2026-06-17,603256,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
603516_2026-06-17,603516,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
603773_2026-06-18,603773,2026-06-22,2026-06-18,post,1,not_d1_first_break_observation
605198_2026-06-17,605198,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
605289_2026-06-17,605289,2026-06-22,2026-06-17,post,2,not_d1_first_break_observation
000679_2026-06-18,000679,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
000777_2026-06-18,000777,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
001339_2026-06-22,001339,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
002080_2026-06-18,002080,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
002484_2026-06-18,002484,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
002491_2026-06-22,002491,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
002579_2026-06-22,002579,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
002741_2026-06-18,002741,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
