factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
total_score,all_opportunity_d3_max,all_candidates,2,590,55.15,63.35,59.5018,5.7349,4.5138,1.4543,8.988,0.3356,0.2051,0.0119,0.3356,0.7116,5.7349
total_score,all_opportunity_d3_max,all_candidates,3,590,63.35,70.8,66.9821,5.9615,4.5624,1.6706,9.9379,0.3542,0.2322,0.0186,0.3542,0.4988,5.9615
total_score,all_opportunity_d3_max,all_candidates,4,590,70.8,78.55,74.4615,6.6107,5.3563,2.0041,9.9872,0.4051,0.2373,0.0068,0.4051,0.953,6.6107
total_score,all_opportunity_d3_max,all_candidates,5,591,78.55,88.85,82.6817,7.5976,7.1565,2.942,10.3448,0.5144,0.2927,0.0118,0.5144,2.0254,7.5976
total_score,all_primary_d3_close,all_candidates,1,591,25.15,55.1,45.7534,-0.0961,-0.9091,-4.8142,4.2002,0.1438,0.0795,0.3604,0.2893,-0.0961,4.9672
total_score,all_primary_d3_close,all_candidates,2,590,55.15,63.35,59.5018,0.7116,-0.7099,-4.4868,5.1891,0.1864,0.122,0.3525,0.3356,0.7116,5.7349
total_score,all_primary_d3_close,all_candidates,3,590,63.35,70.8,66.9821,0.4988,-0.6521,-4.8325,4.9191,0.1881,0.1203,0.361,0.3542,0.4988,5.9615
total_score,all_primary_d3_close,all_candidates,4,590,70.8,78.55,74.4615,0.953,0.0587,-4.5274,5.8823,0.2169,0.1305,0.3492,0.4051,0.953,6.6107
total_score,all_primary_d3_close,all_candidates,5,591,78.55,88.85,82.6817,2.0254,1.8109,-3.8701,7.1959,0.264,0.1692,0.2775,0.5144,2.0254,7.5976
total_score,executed_realized_d3,executed_only,1,41,70.15,72.5,71.3024,0.7099,1.2858,-3.3113,7.0,0.2683,0.0,0.2683,0.3415,1.7129,5.419
total_score,executed_realized_d3,executed_only,2,41,72.65,76.0,74.2634,-0.2464,-0.1298,-4.866,7.0,0.2927,0.0,0.3659,0.3415,0.1573,5.9188
total_score,executed_realized_d3,executed_only,3,40,76.0,78.2,77.1688,0.5714,0.5682,-4.2839,7.0,0.425,0.0,0.3,0.375,0.3333,6.2414
total_score,executed_realized_d3,executed_only,4,41,78.2,81.3,79.672,1.2093,2.0294,-2.8958,7.0,0.3659,0.0,0.2439,0.3415,0.4977,6.1319
total_score,executed_realized_d3,executed_only,5,41,81.35,86.6,83.7598,0.8319,0.978,-2.9124,7.0,0.3659,0.0,0.2439,0.2927,-0.9305,4.3562
