code,name,field,old_value,current_value,absolute_difference,relative_difference,isclose_1e-10,old_canonical_12g,current_canonical_12g
603500,祥和实业,theme_score,60.0,60.0,0.0,0.0,True,60,60
603500,祥和实业,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
603500,祥和实业,entry_width_score,60.0,45.0,15.0,0.25,False,60,45
603500,祥和实业,d1_low_ma10_pct,-8.76,-8.9923,0.2323000000000004,0.026518264840182694,False,-8.76,-8.9923
603500,祥和实业,d1_close_ma10_pct,-8.2953,-8.2953,0.0,0.0,True,-8.2953,-8.2953
603500,祥和实业,d1_close_vwap_pct,-1.8248,-1.8248,0.0,0.0,True,-1.8248,-1.8248
603500,祥和实业,low_absorb_width_pct,4.431239388794572,4.96408897494629,0.532849586151718,0.12024843151086648,False,4.43123938879,4.96408897495
603500,祥和实业,invalid_distance_pct,4.431239388794572,4.96408897494629,0.532849586151718,0.12024843151086648,False,4.43123938879,4.96408897495
603500,祥和实业,candidate_base_price,11.84,11.84,0.0,0.0,True,11.84,11.84
603527,众源新材,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
603527,众源新材,total_score,44.0,44.0,0.0,0.0,True,44,44
603527,众源新材,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
603527,众源新材,active_money_score,54.0,54.0,0.0,0.0,True,54,54
603527,众源新材,active_cooling_score,90.0,90.0,0.0,0.0,True,90,90
603527,众源新材,support_score,0.0,15.0,15.0,,False,0,15
603527,众源新材,theme_score,60.0,60.0,0.0,0.0,True,60,60
603527,众源新材,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
603527,众源新材,entry_width_score,60.0,60.0,0.0,0.0,True,60,60
603527,众源新材,d1_low_ma10_pct,-16.0515,-16.0637,0.012199999999999989,0.000760053577547269,False,-16.0515,-16.0637
603527,众源新材,d1_close_ma10_pct,-14.387,-14.2547,0.13230000000000075,0.00919580176548278,False,-14.387,-14.2547
603527,众源新材,d1_close_vwap_pct,-2.4578,-2.2929,0.16490000000000027,0.0670925217674344,False,-2.4578,-2.2929
603527,众源新材,low_absorb_width_pct,4.552412907233494,4.552412907233494,0.0,0.0,True,4.55241290723,4.55241290723
603527,众源新材,invalid_distance_pct,4.552412907233494,4.552412907233494,0.0,0.0,True,4.55241290723,4.55241290723
603527,众源新材,candidate_base_price,11.83,11.85,0.019999999999999574,0.0016906170752324238,False,11.83,11.85
