scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-07-06,candidate_base_price,6,0,38.215,,,46.39,,,17.4925,,,51.43,,,,,,,
daily,2026-07-07,candidate_base_price,5,0,31.002,,,15.82,,,11.99,,,26.45,,,,,,,
daily,2026-07-08,candidate_base_price,4,3,26.222500000000004,36.75,-10.527499999999996,15.905000000000001,15.48,0.4250000000000007,10.8725,14.96,-4.0875,31.255000000000003,47.905,-16.65,,,,,
overall,ALL,candidate_base_price,39,18,63.078461538461525,85.60055555555556,-22.522094017094034,26.05,50.769999999999996,-24.719999999999995,11.295,21.2275,-9.9325,46.39,91.125,-44.735,7.0,7.0,0.5714285714285714,0.42857142857142855,False
daily,2026-06-26,low_absorb_width_pct,4,3,3.9984561587192986,4.356227326216426,-0.35777116749712734,4.068884786418292,4.575189791388512,-0.50630500497022,3.5412644787644663,4.065205186855502,-0.5239407080910361,4.526076466373125,4.756730698163391,-0.23065423179026645,,,,,
daily,2026-06-29,low_absorb_width_pct,5,2,2.5558633464397302,4.144358184611874,-1.5884948381721435,2.7815468113975506,4.144358184611874,-1.3628113732143232,1.2963135720048369,3.8819434020702426,-2.5856298300654057,3.7374267301119035,4.406772967153505,-0.6693462370416015,,,,,
daily,2026-06-30,low_absorb_width_pct,3,1,3.0379104837661153,1.1022424933485375,1.9356679904175778,2.324494022283452,1.1022424933485375,1.2222515289349145,2.2115947139210723,1.1022424933485375,1.1093522205725348,3.5075180228698266,1.1022424933485375,2.405275529521289,,,,,
daily,2026-07-01,low_absorb_width_pct,3,5,2.3073584130575884,3.1032879358184573,-0.7959295227608689,2.9816513761467878,3.5895754794296186,-0.6079241032828309,1.4908256880733939,1.116751269035543,0.3740744190378509,3.4610376195863823,3.728433857788449,-0.2673962382020667,,,,,
daily,2026-07-02,low_absorb_width_pct,5,2,3.5206951337823655,1.6632450033501667,1.8574501304321989,3.319148936170224,1.6632450033501667,1.6559039328200575,3.244772979667565,0.975853270905852,2.268919708761713,4.336043360433606,2.350636735794481,1.9854066246391247,,,,,
daily,2026-07-03,low_absorb_width_pct,4,2,1.7001400218118357,3.9581893064450813,-2.2580492846332456,1.459661765153586,3.9581893064450813,-2.4985275412914953,1.060333050475143,3.9550194682249797,-2.8946864177498366,2.0994687364902784,3.961359144665183,-1.8618904081749044,,,,,
