signal_date,code,name,d2open_d3high_return_pct,target7_d2open_d3high,in_v004a_topk,v004a_rank,v004a_score,in_v004a_top3,in_v002_topk,v002_rank,v002_score,in_v002_top3,in_v005_candidate_pool,v005_pool_order,v005_sort_field_name,in_final_top3,final_rank,selection_outcome_class,selection_path_classes,selected_hit,selected_false_positive,missed_hit_in_candidate_pool,missed_hit_outside_candidate_pool,v005_rescued_from_v004a,v005_rescued_from_v002,v005_dropped_v004a_hit,v005_dropped_v002_hit,group_a_false_positive,group_a_source,group_b_missed_pool_hit,total_score,trend_hold_score,active_money_score,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,candidate_base_price,low_absorb_width_pct,invalid_distance_pct,days_since_d0
2026-06-26,002518,科士达,5.8045409674235104,False,False,106,0.4196875347753961,False,False,142,25.37401,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,44.5,40.0,66.0,-0.0554,0.6366,-2.7377,50.9,3.526625571507247,3.526625571507247,1.0
2026-06-26,002520,日发精机,1.4577259475218707,False,False,169,0.3879553288537132,False,False,173,21.850325,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,40.5,40.0,40.0,-1.0101,-0.8658,-2.3602,6.87,3.236151603498527,3.236151603498527,2.0
2026-06-26,002522,浙江众成,3.647798742138364,False,False,120,0.4121537450919487,False,False,76,37.620545,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,48.75,65.0,42.0,4.5079,6.8093,-0.1318,7.89,3.756476683937815,3.756476683937815,3.0
2026-06-26,002536,飞龙股份,0.8622502628811812,False,False,91,0.430003972489855,False,False,102,32.887114999999994,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,52.75,65.0,76.0,3.3373,4.6201,-3.2926,48.12,4.727904758047474,4.727904758047474,2.0
2026-06-26,002549,凯美特气,5.3135471517472554,False,False,102,0.4213409759052791,False,False,91,34.22257,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,50.25,65.0,58.0,5.395,5.7291,-2.7342,18.99,5.507030251384748,5.507030251384748,3.0
2026-06-26,002550,千红制药,7.4198988195615545,True,False,151,0.3956861113772575,False,False,151,23.870709999999995,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,45.5,40.0,60.0,-0.2506,-0.0835,-2.6523,5.98,2.896581856405933,2.896581856405933,2.0
2026-06-26,002552,宝鼎科技,-6.409300939037122,False,False,145,0.3987511683022063,False,False,168,22.160685,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.5,40.0,50.0,-5.6941,-4.551,-1.7749,66.8,3.0409500478871587,3.0409500478871587,2.0
2026-06-26,002558,巨人网络,2.6286560533135717,False,False,78,0.4379684795872045,False,False,88,34.771925,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,39.25,65.0,94.0,4.5239,9.1792,-0.0002,27.44,4.485815079142275,4.485815079142275,1.0
2026-06-26,002579,中京电子,-0.3129190880643784,False,False,40,0.4662519510381354,False,False,47,42.85433,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.25,75.0,92.0,6.313,18.9494,3.8041,22.78,4.61689587426326,4.61689587426326,1.0
2026-06-26,002580,圣阳股份,-2.800734618916434,False,False,124,0.4076835451659673,False,False,132,27.43999,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.25,55.0,46.0,1.7214,1.7214,-2.9428,22.75,4.791208791208801,4.791208791208801,2.0
