factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,4,590,3.8961,4.5543,4.2184,6.1453,4.9766,1.6878,9.8286,0.3729,0.2203,0.0119,0.3729,0.6162,6.1453
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,5,591,4.5544,6.4587,5.0059,5.489,4.335,1.5138,9.0109,0.3401,0.1929,0.0118,0.3401,0.0068,5.489
low_absorb_width_pct,all_primary_d3_close,all_candidates,1,591,0.0,2.1053,1.0808,2.3248,1.7428,-3.8823,7.7709,0.2741,0.1912,0.2927,0.4839,2.3248,7.4415
low_absorb_width_pct,all_primary_d3_close,all_candidates,2,590,2.1059,3.1454,2.6907,0.4408,-0.7322,-4.6352,4.6109,0.1763,0.1169,0.3458,0.3492,0.4408,5.8955
low_absorb_width_pct,all_primary_d3_close,all_candidates,3,590,3.1461,3.8955,3.5282,0.7033,-0.3515,-4.3465,5.2493,0.1915,0.1136,0.339,0.3525,0.7033,5.9
low_absorb_width_pct,all_primary_d3_close,all_candidates,4,590,3.8961,4.5543,4.2184,0.6162,-0.423,-4.541,5.0694,0.1814,0.1085,0.3458,0.3729,0.6162,6.1453
low_absorb_width_pct,all_primary_d3_close,all_candidates,5,591,4.5544,6.4587,5.0059,0.0068,-0.7647,-5.2486,4.8787,0.176,0.0914,0.3773,0.3401,0.0068,5.489
low_absorb_width_pct,executed_realized_d3,executed_only,1,33,0.0,3.0761,2.5005,0.4896,0.8856,-2.3148,7.0,0.2727,0.0,0.2424,0.1818,-2.1854,3.2543
low_absorb_width_pct,executed_realized_d3,executed_only,2,33,3.0872,3.8683,3.4998,0.3558,-0.2127,-2.9124,7.0,0.303,0.0,0.2424,0.303,-0.9367,4.2105
low_absorb_width_pct,executed_realized_d3,executed_only,3,33,3.8797,4.2947,4.0924,1.2591,0.6876,-2.8958,7.0,0.3636,0.0,0.2424,0.3333,0.0045,5.4474
low_absorb_width_pct,executed_realized_d3,executed_only,4,33,4.3026,4.6875,4.4916,-0.5576,-1.0503,-5.0973,7.0,0.2727,0.0,0.3333,0.1212,-2.1423,3.9793
low_absorb_width_pct,executed_realized_d3,executed_only,5,33,4.7009,6.3741,5.0872,0.4831,0.8691,-2.5777,7.0,0.2727,0.0,0.2121,0.1818,-0.9756,3.3652
support_score,all_opportunity_d3_max,all_candidates,1,591,0.0,27.0,12.3113,5.5832,4.1737,1.4798,8.8895,0.335,0.2047,0.0152,0.335,0.6215,5.5832
support_score,all_opportunity_d3_max,all_candidates,2,590,27.0,69.0,47.9695,6.1372,4.3993,1.6529,9.9599,0.3593,0.2305,0.0119,0.3593,0.8576,6.1372
support_score,all_opportunity_d3_max,all_candidates,3,590,69.0,91.0,84.3932,5.6297,4.339,1.1885,9.1379,0.3475,0.1932,0.0186,0.3475,-0.1054,5.6297
support_score,all_opportunity_d3_max,all_candidates,4,590,91.0,91.0,91.0,7.1125,6.2223,2.6743,10.0432,0.4492,0.2678,0.0068,0.4492,2.1772,7.1125
support_score,all_opportunity_d3_max,all_candidates,5,591,91.0,91.0,91.0,6.4102,5.346,2.1965,9.9356,0.4078,0.22,0.0068,0.4078,0.543,6.4102
support_score,all_primary_d3_close,all_candidates,1,591,0.0,27.0,12.3113,0.6215,-0.6177,-4.8581,5.3211,0.1895,0.1151,0.3655,0.335,0.6215,5.5832
support_score,all_primary_d3_close,all_candidates,2,590,27.0,69.0,47.9695,0.8576,-0.2753,-4.6616,5.5543,0.2119,0.139,0.3458,0.3593,0.8576,6.1372
support_score,all_primary_d3_close,all_candidates,3,590,69.0,91.0,84.3932,-0.1054,-1.2466,-5.3346,4.7409,0.1593,0.1034,0.3932,0.3475,-0.1054,5.6297
support_score,all_primary_d3_close,all_candidates,4,590,91.0,91.0,91.0,2.1772,1.6403,-3.2587,6.7206,0.2424,0.1424,0.2678,0.4492,2.1772,7.1125
support_score,all_primary_d3_close,all_candidates,5,591,91.0,91.0,91.0,0.543,-0.2121,-4.8795,5.334,0.1963,0.1218,0.3283,0.4078,0.543,6.4102
support_score,executed_realized_d3,executed_only,1,33,67.0,77.0,70.6364,-0.4989,-1.3189,-4.5831,7.0,0.2727,0.0,0.3333,0.2727,-0.2874,4.5619
support_score,executed_realized_d3,executed_only,2,33,77.0,79.0,78.697,-0.2551,-0.9672,-4.588,7.0,0.2727,0.0,0.3636,0.2727,-0.9177,4.6033
support_score,executed_realized_d3,executed_only,3,33,79.0,91.0,88.6364,2.0803,1.6706,-1.5679,7.0,0.4545,0.0,0.1515,0.3333,-2.2399,4.6796
