event_id,signal_date,code,board,candidate_count,stage1_score,stage1_rank,stage1_top10,stage1_strength,d1_high_to_close_drawdown_raw,d1_close_location,d1_low_to_close_recovery,d1_open_to_close_return_raw,rank_drawdown_top10,rank_close_location_top10,rank_recovery_top10,rank_open_close_top10,closing_completion_gap,strength_x_gap,stage2_score,stage2_rank_within_top10,final_rerank_rank,control_top3,reranker_top3,target7,raw_repair_return,capped_opportunity_return_7
603045_2026-06-17,2026-06-17,603045,2,17,0.521384073304,15,False,0.125,0.0122950819672,0.681818181818,0.0274056029233,0.016265060241,,,,,,,,,15,False,False,0,0.0585868150077,0.0585868150077
600703_2026-06-17,2026-06-17,600703,2,17,0.504123317788,16,False,0.0625,0.0149253731343,0.573770491803,0.0208209399167,0.0117924528302,,,,,,,,,16,False,False,1,0.0892151326934,0.07
002051_2026-06-17,2026-06-17,002051,2,17,0.500552218524,17,False,0,0.107142857143,0.197860962567,0.0305028854081,-0.054462934947,,,,,,,,,17,False,False,1,0.0827974276527,0.07
603186_2026-06-18,2026-06-18,603186,3,15,0.597085596238,1,True,1,0.00779231602634,0.9,0.076057483731,0.0659414450712,0.2,0.9,0.9,1,0.1,0.1,0.384361764617,2,2,True,True,0,0.0454831800428,0.0454831800428
002741_2026-06-18,2026-06-18,002741,3,15,0.59561853857,2,True,0.928571428571,0,1,0.0713359273671,0.0379492334757,0.1,1,0.8,0.9,0.1,0.0928571428571,0.382997239536,5,5,True,False,0,-0.0204131227217,-0.0204131227217
600110_2026-06-18,2026-06-18,600110,3,15,0.593164230287,3,True,0.857142857143,0.0456273764259,0.4,0.0329218106996,0.004,0.6,0.4,0.5,0.7,0.5,0.428571428571,0.385607666808,1,1,True,True,0,-0.0444572748268,-0.0444572748268
603002_2026-06-18,2026-06-18,603002,3,15,0.588881639336,4,True,0.785714285714,0.0375510204082,0.494505494505,0.0396825396825,-0.00253807106599,0.4,0.6,0.6,0.6,0.4,0.314285714286,0.383034558775,4,4,False,False,1,0.117920540997,0.07
002080_2026-06-18,2026-06-18,002080,3,15,0.578674209998,5,True,0.714285714286,0.0241095226557,0.535046728972,0.0292614362382,-0.0206686930091,0.3,0.7,0.4,0.5,0.425,0.303571428571,0.381670927859,6,6,False,False,0,0.0197681513118,0.0197681513118
603115_2026-06-18,2026-06-18,603115,3,15,0.573419752004,6,True,0.642857142857,0.106001558846,0.0395480225989,0.00490625547573,-0.0896825396825,1,0.2,0.2,0.1,0.875,0.5625,0.383581684011,3,3,False,True,0,0.0322945682451,0.0322945682451
600186_2026-06-18,2026-06-18,600186,2,15,0.570424114954,7,True,0.571428571429,0.078114912847,0.141843971631,0.0142045454545,-0.0409670920081,0.9,0.3,0.3,0.2,0.775,0.442857142857,0.380960447138,7,7,False,False,0,0.0350515463918,0.0350515463918
