event_id,code,signal_date,v02_candidate_status,v02_exclusion_reason,missing_reason,daily_label_complete,d1_daily_complete,recoverable,recovery_status,recovered_rows,before_rows,after_rows,backup_path,raw_sha256,raw_path,raw_source,raw_adjust,raw_d1_complete
002931_2026-05-25,002931,2026-05-25,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600303_2026-05-25,600303,2026-05-25,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600611_2026-05-25,600611,2026-05-25,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000636_2026-05-26,000636,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002421_2026-05-26,002421,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002432_2026-05-26,002432,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002938_2026-05-26,002938,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002975_2026-05-26,002975,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002980_2026-05-26,002980,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600186_2026-05-26,600186,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600539_2026-05-26,600539,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603256_2026-05-26,603256,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603661_2026-05-26,603661,2026-05-26,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603663_2026-05-26,603663,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603936_2026-05-26,603936,2026-05-26,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000510_2026-05-27,000510,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002388_2026-05-27,002388,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002552_2026-05-27,002552,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002585_2026-05-27,002585,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002957_2026-05-27,002957,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
003036_2026-05-27,003036,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600172_2026-05-27,600172,2026-05-27,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600584_2026-05-27,600584,2026-05-27,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002579_2026-05-29,002579,2026-05-29,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603989_2026-05-29,603989,2026-05-29,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
