event_id,code,signal_date,board_streak_before_break,missing_reason,expected_bars,actual_bars,first_timestamp,last_timestamp,duplicate_bars,invalid_price_volume,daily_label_complete,d1_daily_complete,d1_minute_complete,raw_path,recoverable,minute_cache_path
603115_2026-05-20,603115,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603115_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603115_5min.pkl
603206_2026-05-20,603206,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603206_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603206_5min.pkl
603311_2026-05-20,603311,2026-05-20,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603311_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603311_5min.pkl
603989_2026-05-20,603989,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603989_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603989_5min.pkl
000417_2026-05-21,000417,2026-05-21,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000417_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000417_5min.pkl
603938_2026-05-21,603938,2026-05-21,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603938_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603938_5min.pkl
605288_2026-05-21,605288,2026-05-21,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\605288_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\605288_5min.pkl
001225_2026-05-25,001225,2026-05-25,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\001225_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\001225_5min.pkl
002036_2026-05-25,002036,2026-05-25,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002036_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002036_5min.pkl
002931_2026-05-25,002931,2026-05-25,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002931_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002931_5min.pkl
600303_2026-05-25,600303,2026-05-25,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600303_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600303_5min.pkl
600611_2026-05-25,600611,2026-05-25,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600611_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600611_5min.pkl
000636_2026-05-26,000636,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000636_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000636_5min.pkl
002421_2026-05-26,002421,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002421_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002421_5min.pkl
