feature_name,source_or_derived,source_column,allowlist_tier,mechanism_group,preprocess_policy,mutual_exclusion_group_id,total_value_type,total_n,total_non_null,total_missing,total_missing_rate,total_unique_count,total_dominant_value,total_dominant_count,total_dominant_rate,total_min,total_p01,total_p05,total_p25,total_p50,total_p75,total_p95,total_p99,total_max,dev_non_null,dev_missing_rate,locked_non_null,locked_missing_rate,missing_rate_delta
break_opened_from_limit_up,source,break_opened_from_limit_up,SENSITIVITY,D1_PRICE_ACTION,RAW_BINARY,nan,numeric,333,333,0,0.0,2,False,325,0.975976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,173,0.0,160,0.0,0.0
consecutive_days_below_ma5,source,consecutive_days_below_ma5,SENSITIVITY,D1_MA_POSITION,RAW_ORDINAL,ME06_MA5_POSITION,numeric,333,333,0,0.0,2,0,330,0.990991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,173,0.0,160,0.0,0.0
consecutive_days_below_ma10,source,consecutive_days_below_ma10,SENSITIVITY,D1_MA_POSITION,RAW_ORDINAL,ME07_MA10_POSITION,numeric,333,333,0,0.0,4,0,328,0.984985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,173,0.0,160,0.0,0.0
d1_close_location,source,d1_close_location,SENSITIVITY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,331,2,0.006006,306,0.0,25,0.075075,0.0,0.0,0.0,0.12324498244982465,0.3536585365853661,0.6097028688524584,0.8583333333333331,0.9547178456874983,1.0,172,0.00578,159,0.00625,0.00047
amount_above_d1_close_ratio,source,amount_above_d1_close_ratio,SENSITIVITY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME02_ABOVE_CLOSE_CHIP,numeric,333,333,0,0.0,283,1.0,51,0.153153,0.018227312301159,0.025776151763171856,0.07775376873480845,0.3574985028066288,0.6635109228475935,0.9228032501241618,1.0,1.0,1.0,173,0.0,160,0.0,0.0
high_zone_amount_ratio,source,high_zone_amount_ratio,SENSITIVITY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,numeric,333,333,0,0.0,240,0.0,93,0.279279,0.0,0.0,0.0,0.0,0.1710699501309986,0.3051783618191452,0.5753142851543078,0.7315009950734666,1.0,173,0.0,160,0.0,0.0
late_day_sell_amount_ratio,source,late_day_sell_amount_ratio,SENSITIVITY,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,numeric,333,333,0,0.0,319,0.0,15,0.045045,0.0,0.0,0.011305547714684403,0.0498707025663682,0.0698862081923578,0.0966748060407012,0.14407387572559963,0.16498260879800997,0.2220735392697603,173,0.0,160,0.0,0.0
d1_vwap_to_close_gap,source,d1_vwap_to_close_gap,SENSITIVITY,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,numeric,333,333,0,0.0,333,-0.014027264731176,1,0.003003,-0.069843044064662,-0.05370362058971003,-0.02740611687944734,-0.00681554629814,0.0057548052626502,0.0270365142690358,0.05590850340210595,0.07699764785918066,0.093880482541129,173,0.0,160,0.0,0.0
last_board_day_in_pool,source,last_board_day_in_pool,SENSITIVITY,POOL_MEMBERSHIP,RAW_BINARY,nan,numeric,333,333,0,0.0,2,True,324,0.972973,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
pool_consecutive_count_last_board,source,pool_consecutive_count_last_board,SENSITIVITY,POOL_MEMBERSHIP,RAW_ORDINAL,nan,numeric,333,324,9,0.027027,3,2.0,255,0.765766,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,167,0.034682,157,0.01875,-0.015932
d1_close_above_ma5,source,d1_close_above_ma5,SENSITIVITY,D1_MA_POSITION,RAW_BINARY,ME06_MA5_POSITION,numeric,333,333,0,0.0,2,True,330,0.990991,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
d1_close_above_ma10,source,d1_close_above_ma10,SENSITIVITY,D1_MA_POSITION,RAW_BINARY,ME07_MA10_POSITION,numeric,333,333,0,0.0,2,True,328,0.984985,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
d1_true_reclaim_ma10,source,d1_true_reclaim_ma10,SENSITIVITY,D1_MA_POSITION,RAW_BINARY,nan,numeric,333,333,0,0.0,2,False,326,0.978979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,173,0.0,160,0.0,0.0
d1_close_to_ma5_bucket,source,d1_close_to_ma5_bucket,SENSITIVITY,D1_MA_POSITION,BUCKET_SENSITIVITY_ONLY,nan,categorical,333,333,0,0.0,4,above_plus_10pct,135,0.405405,,,,,,,,,,173,0.0,160,0.0,0.0
d1_open_to_close_bucket,source,d1_open_to_close_bucket,SENSITIVITY,D1_PRICE_ACTION,BUCKET_SENSITIVITY_ONLY,nan,categorical,333,333,0,0.0,6,below_minus_5pct,88,0.264264,,,,,,,,,,173,0.0,160,0.0,0.0
