code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
002747,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,埃斯顿,2026-06-09,2026-06-09
002931,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-03 00:00:00,2026-06-09 00:00:00,2026-04-20 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,锋龙股份,2026-06-09,2026-06-08
002963,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,豪尔赛,2026-06-09,2026-06-08
002982,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,湘佳股份,2026-06-09,2026-06-08
600280,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,中央商场,2026-06-09,2026-06-08
600488,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,津药药业,2026-06-09,2026-06-08
600505,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,西昌电力,2026-06-09,2026-06-08
600539,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,狮头股份,2026-06-09,2026-06-08
600721,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,百花医药,2026-06-09,2026-06-08
600825,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,新华传媒,2026-06-09,2026-06-08
601588,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,北辰实业,2026-06-09,2026-06-08
603186,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,华正新材,2026-06-09,2026-06-09
603203,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,DR快克智,2026-06-09,2026-06-08
603206,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,嘉环科技,2026-06-09,2026-06-08
603278,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,大业股份,2026-06-09,2026-06-08
603616,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,韩建河山,2026-06-09,2026-06-09
603669,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,灵康药业,2026-06-09,2026-06-08
603778,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,国晟科技,2026-06-09,2026-06-08
603877,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,太平鸟,2026-06-09,2026-06-08
603929,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,亚翔集成,2026-06-09,2026-06-09
000029,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,深深房Ａ,2026-06-09,2026-06-09
000037,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,深南电A,2026-06-09,2026-06-09
000048,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,京基智农,2026-06-09,2026-06-09
