signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-09,600063,2026-06-29,40,failed,"600063 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999961"
2026-06-09,600207,2026-06-29,40,ok,
2026-06-09,600293,2026-06-29,40,ok,
2026-06-09,600303,2026-06-29,40,ok,
2026-06-09,600382,2026-06-29,40,failed,"600382 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-09,600403,2026-06-29,40,failed,"600403 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-09,600516,2026-06-29,40,ok,
2026-06-09,600552,2026-06-29,40,failed,"600552 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.1900000000000013"
2026-06-09,600714,2026-06-29,40,failed,"600714 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.129999999999999"
2026-06-09,600776,2026-06-29,40,failed,"600776 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-09,600819,2026-06-29,40,failed,"600819 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-09,600881,2026-06-29,40,failed,"600881 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-09,600973,2026-06-29,40,failed,"600973 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-09,600996,2026-06-29,40,ok,
2026-06-09,603020,2026-06-29,40,failed,"603020 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.08999999999999986"
2026-06-09,603048,2026-06-29,40,failed,"603048 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-09,603070,2026-06-29,40,failed,"603070 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
2026-06-09,603078,2026-06-29,40,failed,"603078 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.759999999999998"
2026-06-09,603124,2026-06-29,40,failed,"603124 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
2026-06-09,603135,2026-06-29,40,failed,"603135 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.15000000000000036"
2026-06-09,603159,2026-06-29,40,failed,"603159 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.35999999999999943"
2026-06-09,603166,2026-06-29,40,failed,"603166 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936"
2026-06-09,603270,2026-06-29,40,failed,"603270 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-09,603360,2026-06-29,40,ok,
2026-06-09,603500,2026-06-29,40,ok,
2026-06-09,603578,2026-06-29,40,ok,
2026-06-09,603725,2026-06-29,40,failed,"603725 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-09,603790,2026-06-29,40,failed,"603790 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
2026-06-09,603823,2026-06-29,40,ok,
2026-06-09,603859,2026-06-29,40,failed,"603859 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-09,603888,2026-06-29,40,failed,"603888 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-09,603938,2026-06-29,40,failed,"603938 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6700000000000017"
2026-06-09,603992,2026-06-29,40,failed,"603992 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0799999999999983"
2026-06-09,000068,2026-06-29,40,failed,"000068 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.040000000000000036"
2026-06-09,000620,2026-06-29,40,ok,
2026-06-09,000785,2026-06-29,40,ok,
2026-06-09,000833,2026-06-29,40,failed,"000833 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.10000000000000142"
2026-06-09,000970,2026-06-29,40,ok,
