event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
000520_2026-06-08,2026-06-08,000520,3,1,1,True,0.333333333333,0.333333333333,0.336308024089,1,0.0164553235655,1,0.0189560144947,1,0,-0.0109409190372,-0.0109409190372
600293_2026-06-08,2026-06-08,600293,3,2,0.5,True,0.166666666667,0.0833333333333,0.152839034325,2,0.00823682232691,3,0.00640823878552,2,0,-0.0172839506173,-0.0172839506173
003036_2026-06-08,2026-06-08,003036,3,3,0,True,0.75,0,0.0590997528037,3,0.00858329973618,2,-0.00478994465338,3,0,0.0681933842239,0.0681933842239
603859_2026-06-09,2026-06-09,603859,9,1,1,True,0.0555555555556,0.0555555555556,0.251319842233,2,0.0129825849345,7,0.00986660715576,7,0,0.0640412922959,0.0640412922959
603500_2026-06-09,2026-06-09,603500,9,2,0.875,True,0.111111111111,0.0972222222222,0.233687950352,3,0.012224752544,8,0.0101953703687,6,1,0.0936270653029,0.07
002421_2026-06-09,2026-06-09,002421,9,3,0.75,True,0.472222222222,0.354166666667,0.279720644323,1,0.015940765839,4,0.0176149854977,1,0,-0.142105263158,-0.142105263158
003009_2026-06-09,2026-06-09,003009,9,4,0.625,True,0.416666666667,0.260416666667,0.229441276626,5,0.0141816423487,5,0.0139710880139,3,0,-0.0131004366812,-0.0131004366812
000068_2026-06-09,2026-06-09,000068,9,5,0.5,True,0.638888888889,0.319444444444,0.229903150151,4,0.0169596867431,3,0.0157258670788,2,0,-0.0503978779841,-0.0503978779841
002361_2026-06-09,2026-06-09,002361,9,6,0.375,True,0.5,0.1875,0.165671136935,6,0.0137557742276,6,0.0106487693487,5,0,0.047323943662,0.047323943662
002613_2026-06-09,2026-06-09,002613,9,7,0.25,True,0.777777777778,0.194444444444,0.162545122817,7,0.0183460704273,2,0.0114667452262,4,0,-0.013698630137,-0.013698630137
000517_2026-06-09,2026-06-09,000517,9,8,0.125,True,0.916666666667,0.114583333333,0.132317042388,8,0.0207818354024,1,0.00933119730452,8,0,0.0147783251232,0.0147783251232
000759_2026-06-09,2026-06-09,000759,9,9,0,True,0.361111111111,0,0.0329507155734,9,0.00807292340391,9,0.0021718088395,9,0,0.00649350649351,0.00649350649351
603929_2026-06-10,2026-06-10,603929,7,1,1,True,0.178571428571,0.178571428571,0.27589477004,2,0.0147077311239,3,0.0129017656483,2,1,0.0850540374308,0.07
603616_2026-06-10,2026-06-10,603616,7,2,0.833333333333,True,0.821428571429,0.684523809524,0.369386707993,1,0.0168855014287,2,0.0232433429701,1,0,0.0160583941606,0.0160583941606
603186_2026-06-10,2026-06-10,603186,7,3,0.666666666667,True,0.107142857143,0.0714285714286,0.174779549325,4,0.0103964185933,6,0.00766661208809,5,1,0.12896813445,0.07
001696_2026-06-10,2026-06-10,001696,7,4,0.5,True,0.25,0.125,0.155104092941,5,0.0100889807871,7,0.00770914788878,4,1,0.202105263158,0.07
002747_2026-06-10,2026-06-10,002747,7,5,0.333333333333,True,0.821428571429,0.27380952381,0.18117985768,3,0.0170751835815,1,0.0111070571952,3,0,0.0194285714286,0.0194285714286
