section,column,dtype,row_count,missing_count,missing_rate,non_finite_count,min,max,p01,p50,p99,source,available_at_d1_close
column_stats,d3_trade_date,str,1020.0,1020.0,1.0,1020.0,,,,,,5min cache future dates,False
column_stats,d2_open,float64,1020.0,0.0,0.0,0.0,1.26,598.0,2.5819,18.41,256.07609999999954,"5min first bar, fallback daily",False
column_stats,d2_high,float64,1020.0,0.0,0.0,0.0,1.34,600.0,2.73,19.14,263.5513999999998,"5min max, fallback daily",False
column_stats,d2_low,float64,1020.0,0.0,0.0,0.0,1.23,565.0,2.4876,17.585,244.26679999999988,"5min min, fallback daily",False
column_stats,d2_close,float64,1020.0,0.0,0.0,0.0,1.28,575.0,2.5938,18.45,256.40159999999963,"5min last, fallback daily",False
column_stats,d3_high,float64,1020.0,0.0,0.0,0.0,1.31,582.0,2.7219,18.85,268.0630999999995,5min max (项目口径),False
column_stats,d3_low,float64,1020.0,0.0,0.0,0.0,1.22,533.0,2.4776000000000002,17.47,242.32499999999996,"5min min, fallback daily",False
column_stats,d3_close,float64,1020.0,0.0,0.0,0.0,1.24,545.9,2.5995,18.085,256.4096999999996,5min last (项目口径),False
column_stats,d2open_to_d3high_return,float64,1020.0,0.0,0.0,0.0,-0.3156443831840111,0.2799043062200959,-0.10014588980397009,0.0305174329662486,0.2319699966006626,derived label,False
column_stats,d2open_to_d3close_return,float64,1020.0,0.0,0.0,0.0,-0.3551573627383414,0.2784688995215312,-0.16025613733127997,-0.01490290346907995,0.2063808704284416,derived label,False
column_stats,target7_d2open_d3high,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived label (>=0.07),False
column_stats,tail_loss_5pct,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived label (<=-0.05),False
column_stats,future_data_status,str,1020.0,1020.0,1.0,1020.0,,,,,,derived,False
column_stats,last_board_date,str,1020.0,1020.0,1.0,1020.0,,,,,,audit only,True
column_stats,break_day_in_pool,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,audit only,True
column_stats,last_board_day_in_pool,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,audit only,True
column_stats,pool_consecutive_count_last_board,float64,1020.0,39.0,0.03823529411764706,39.0,1.0,3.0,1.0,2.0,3.0,audit only,True
column_stats,v004a_score_source,str,1020.0,1020.0,1.0,1020.0,,,,,,audit only,True
overall_check,duplicate_key_count_event_id_signal_date,check,,,,,0,,,,,,
overall_check,event_observation_count_distribution,check,,,,,"{1: 25, 2: 115, 3: 255}",,,,,,
overall_check,all_codes_six_digit,check,,,,,True,,,,,,
overall_check,signal_date_earlier_than_break_date_count,check,,,,,0,,,,,,
overall_check,days_since_break_vs_actual_trade_gap_consistent,check,,,,,True,,,,,,
overall_check,days_since_break_max_abs_diff_checked_rows,check,,,,,0 / 1020,,,,,,
overall_check,future_data_in_d1_features,check,,,,,False (D1 特征全部取自 <= signal_date 的数据; 构造保证),,,,,,
overall_check,daily_minute_volume_unit_ratio_distribution,check,,,,,n=1020 p50=100.0 p01=94.20 p99=100.0,,,,,,
overall_check,daily_minute_close_diff_max,check,,,,,0.0000,,,,,,
overall_check,daily_minute_close_diff_p50,check,,,,,0.0000,,,,,,
overall_check,label_unavailable_count,check,,,,,7,,,,,,
overall_check,suspended_sample_count,check,,,,,0,,,,,,
overall_check,unevaluable_quality_failed_count,check,,,,,299,,,,,,
overall_check,candidate_count,check,,,,,1020,,,,,,
overall_check,independent_event_count,check,,,,,395,,,,,,
overall_check,v004a_score_coverage_rate,check,,,,,0.5725,,,,,,
overall_check,v002_score_coverage_rate,check,,,,,0.1961,,,,,,
overall_check,target7_rate,check,,,,,0.2980,,,,,,
