event_id,code,signal_date,board_streak_before_break,D0,d1_close_to_ma5_raw,d1_close_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,d1_low_to_close_recovery,d1_close_location,d1_close_to_vwap_raw,d1_high_to_close_drawdown_raw,d1_afternoon_return,d1_last_hour_return,intraday_low_time_fraction,d1_up_bar_volume_ratio,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,amount_above_d1_close_ratio,volume_above_d1_close_ratio,post_low_volume_share,tier_cohort_size,tier_peer_count_ex_self,tier_peer_advance_count_d1,tier_peer_advance_rate_d1,tier_peer_break_count_d1,tier_peer_break_rate_d1,tier_peer_mean_d1_close_return,tier_peer_max_d1_close_return,subject_d1_close_return_vs_tier_mean,subject_d1_close_return_percentile_in_tier
600110_2026-06-18,600110,2026-06-18,3,2026-06-17,0.131941760082,0.293147861927,0.41033873816,0.0740381954055,0.0464417744917,0.440163934426,0.0556438791733,0.871601208459,0.0329218106996,0.4,0.000328480137259,0.0456273764259,0.00572409845449,0.00630011454754,0.425531914894,0.65296690419,0.328305761059,0.0383745660723,0,0.527812083517,0.522214742192,0.279548722787,10,9,1,0.111111111111,8,0.888888888889,-0.00269967772214,0.100026184865,0.0207223928768,0.65
600186_2026-06-18,600186,2026-06-18,2,2026-06-17,0.0824742268041,0.166952684481,0.232575201761,0.025656974032,0.0409152773052,0.228915662651,0.138996138996,0.735930735931,0.0142045454545,0.141843971631,-0.0169678198222,0.078114912847,-0.0144927536232,-0.00764419735928,0.170212765957,0.335140836431,0.644411565922,0.105157071602,0,0.910440813767,0.908534005057,0.460396180373,11,10,4,0.4,6,0.6,0.0266135129695,0.10046728972,-0.0477585328124,0.318181818182
600192_2026-06-18,600192,2026-06-18,2,2026-06-17,0.0376602564103,0.0772216830722,0.0473815461347,0.0288540807914,0.00881118881119,0.142647058824,0.0694610778443,0.662790697674,0,0,-0.0248948760255,0.0593220338983,-0.0189393939394,-0.00639386189258,1,0.206901982202,0.737356605039,0.132933991007,0,1,1,0.0455023370343,11,10,4,0.4,6,0.6,0.0309675334415,0.10046728972,-0.0912987375325,0.136363636364
600615_2026-06-18,600615,2026-06-18,2,2026-06-17,0.0542589267903,0.0824372759857,0.0316220964279,0.0272540983607,0.00701247808601,0.131691648822,0.0805785123967,0.759090909091,0.0114832535885,0.184615384615,-0.00837967887189,0.0477477477477,0,-0.00470809792844,0.978723404255,0.309297520223,0.636039018555,0.143064017252,0,0.779460672607,0.776960268045,0.067866219226,11,10,4,0.4,6,0.6,0.0282786720339,0.10046728972,-0.0644101234564,0.227272727273
600707_2026-06-18,600707,2026-06-18,2,2026-06-17,0.0416296032734,0.0265626369773,0.0523477870142,0.0199600798403,0.00670726326008,0.0335392762577,0.193760262726,0.665492957746,0.0182608695652,0.230769230769,-0.01706331062,0.0564061240935,-0.0159663865546,-0.00340425531915,0,0.327315923451,0.651712681276,0.0870609955142,0,0.726293885648,0.726910690917,1,11,10,4,0.4,6,0.6,0.0315253751041,0.10046728972,-0.096877154159,0.0454545454545
601636_2026-06-18,601636,2026-06-18,3,2026-06-17,0.0507056978568,0.109118499103,0.147669688102,0.038263229308,0.0208421349106,0.218181818182,0.123268698061,0.730769230769,0.0307692307692,0.303797468354,-0.00409286962743,0.0640279394645,-0.0348139255702,-0.0254545454545,0,0.410719976827,0.568310463218,0.0721645253772,0,0.504442337773,0.499055756746,1,10,9,1,0.111111111111,8,0.888888888889,0.00763249595716,0.100026184865,-0.0722671702369,0.15
603002_2026-06-18,603002,2026-06-18,3,2026-06-17,0.128553651766,0.247355057131,0.311129027774,0.0574956979451,0.0328361470797,0.292054794521,0.0638182801514,0.860130718954,0.0396825396825,0.494505494505,0.00600473146236,0.0375510204082,0.00812312954254,-0.00211595429539,0,0.337385062426,0.617651005804,0.0654453463991,0,0.113409132191,0.112750321488,1,10,9,1,0.111111111111,8,0.888888888889,-0.00226124517689,0.100026184865,0.0167764999695,0.55
603115_2026-06-18,603115,2026-06-18,3,2026-06-17,0.0761263205299,0.123628526646,0.0903300933958,0.0445102112814,0.00705371676614,0.198662347163,0.0896140634472,0.64220423087,0.00490625547573,0.0395480225989,-0.0319790223403,0.106001558846,-0.0282954930532,-0.0151970464497,0.063829787234,0.380917131421,0.619082868579,0.124474625144,0,1,1,0.707952443192,10,9,1,0.111111111111,8,0.888888888889,0.0044129571861,0.100026184865,-0.0432913212974,0.25
603186_2026-06-18,603186,2026-06-18,3,2026-06-17,0.15759331823,0.344122744131,0.568618408917,0.0704977413244,0.069127010471,0.457935341661,0.0502614448831,0.978511829923,0.076057483731,0.9,0.034161730496,0.00779231602634,0.0172597940787,0.0173901897112,0.0851063829787,0.662888565774,0.337111434226,0.0376952179849,0.176977747434,0.0616731076907,0.0595818059483,0.716521665841,10,9,1,0.111111111111,8,0.888888888889,-0.00604908247543,0.100026184865,0.0508670356564,0.85
603773_2026-06-18,603773,2026-06-18,2,2026-06-17,0.0995246742149,0.126207750115,0.312894585804,0.0348753661637,0.0297860055065,0.0628549303046,0.250629722922,0.846453046861,0.098,0.668485675307,0.00452534446968,0.0423861852433,0.0109256076602,0.00610873549175,0,0.45755166626,0.54244833374,0.0644717038333,0.0511474730813,0.232817224248,0.230595052067,1,11,10,4,0.4,6,0.6,0.0248821973419,0.10046728972,-0.0304453765365,0.409090909091
