representation,model_stage,run_type,lambda,test_signal_date,train_signal_dates,train_rows,test_rows,train_max_signal_date,test_after_train,date_equal_weight_sum,predictor_count,predictors,imputation_scaling_pca_fit,model_status
CS_RANK,M1,PERMUTED,10,2026-06-30,38,312,7,2026-06-29,True,38,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-20,10,86,10,2026-05-19,True,10,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-21,11,96,6,2026-05-20,True,11,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-22,12,102,1,2026-05-21,True,12,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-25,13,103,8,2026-05-22,True,13,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-26,14,111,18,2026-05-25,True,14,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-27,15,129,10,2026-05-26,True,15,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-28,16,139,4,2026-05-27,True,16,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-05-29,17,143,3,2026-05-28,True,17,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-01,18,146,4,2026-05-29,True,18,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
