event_id,code,signal_date,board,board_streak_before_break,representation,model_stage,run_type,lambda,score,rank,repair_rank_target,raw_repair_return,capped_opportunity_return_7,target7,fold_test_signal_date,fold_train_signal_dates,fold_train_max_signal_date,model_status
002579_2026-05-29,002579,2026-05-29,3,3,CS_RANK,M0,PERMUTED,10,0.45525563023,3,0.833333333333,0.195852534562,0.07,1,2026-05-29,17,2026-05-28,CAPABILITY_SCREEN_ONLY
000090_2026-06-01,000090,2026-06-01,2,2,CS_RANK,M0,PERMUTED,10,0.534672868813,1,0.125,-0.0263852242744,-0.0263852242744,0,2026-06-01,18,2026-05-29,CAPABILITY_SCREEN_ONLY
603324_2026-06-01,603324,2026-06-01,2,2,CS_RANK,M0,PERMUTED,10,0.526163198699,2,0.375,0.0224038752649,0.0224038752649,0,2026-06-01,18,2026-05-29,CAPABILITY_SCREEN_ONLY
600110_2026-06-01,600110,2026-06-01,2,2,CS_RANK,M0,PERMUTED,10,0.515024348319,3,0.625,0.0451559934319,0.0451559934319,0,2026-06-01,18,2026-05-29,CAPABILITY_SCREEN_ONLY
002806_2026-06-01,002806,2026-06-01,2,2,CS_RANK,M0,PERMUTED,10,0.469822067177,4,0.875,0.149321266968,0.07,1,2026-06-01,18,2026-05-29,CAPABILITY_SCREEN_ONLY
002608_2026-06-02,002608,2026-06-02,2,2,CS_RANK,M0,PERMUTED,10,0.540921820355,1,0.75,0.099,0.07,1,2026-06-02,19,2026-06-01,CAPABILITY_SCREEN_ONLY
600011_2026-06-02,600011,2026-06-02,2,2,CS_RANK,M0,PERMUTED,10,0.483280031265,2,0.25,0.0260475651189,0.0260475651189,0,2026-06-02,19,2026-06-01,CAPABILITY_SCREEN_ONLY
002404_2026-06-03,002404,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.554719454993,1,0.5,0.0299319727891,0.0299319727891,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
001210_2026-06-03,001210,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.554254972862,2,0.0714285714286,-0.244557534634,-0.244557534634,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
002421_2026-06-03,002421,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.501480792973,3,0.785714285714,0.0698151950719,0.0698151950719,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
002579_2026-06-03,002579,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.494366966506,4,0.642857142857,0.0540254237288,0.0540254237288,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
600280_2026-06-03,600280,2026-06-03,3,3,CS_RANK,M0,PERMUTED,10,0.483307615344,5,0.214285714286,-0.0125313283208,-0.0125313283208,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
000055_2026-06-03,000055,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.465805387994,6,0.357142857143,0,0,0,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
603045_2026-06-03,603045,2026-06-03,2,2,CS_RANK,M0,PERMUTED,10,0.461387359056,7,0.928571428571,0.154815115807,0.07,1,2026-06-03,20,2026-06-02,CAPABILITY_SCREEN_ONLY
600487_2026-06-04,600487,2026-06-04,2,2,CS_RANK,M0,PERMUTED,10,0.555716081638,1,0.916666666667,0.0659375,0.0659375,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
603311_2026-06-04,603311,2026-06-04,2,2,CS_RANK,M0,PERMUTED,10,0.525469061261,2,0.75,0.0277923439958,0.0277923439958,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
002137_2026-06-04,002137,2026-06-04,2,2,CS_RANK,M0,PERMUTED,10,0.517036980529,3,0.583333333333,0.0068359375,0.0068359375,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
000700_2026-06-04,000700,2026-06-04,2,2,CS_RANK,M0,PERMUTED,10,0.516544751618,4,0.0833333333333,-0.0651340996169,-0.0651340996169,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
600936_2026-06-04,600936,2026-06-04,2,2,CS_RANK,M0,PERMUTED,10,0.458568777879,5,0.25,-0.0455284552846,-0.0455284552846,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
600121_2026-06-04,600121,2026-06-04,3,3,CS_RANK,M0,PERMUTED,10,0.429931930204,6,0.416666666667,-0.00709219858156,-0.00709219858156,0,2026-06-04,21,2026-06-03,CAPABILITY_SCREEN_ONLY
600688_2026-06-05,600688,2026-06-05,2,2,CS_RANK,M0,PERMUTED,10,0.552438342712,1,0.416666666667,0.00302114803625,0.00302114803625,0,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
