event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
002254_2026-06-10,2026-06-10,002254,1,0.0754173862982,0.07,0.513873947792,7,0.501498289401,7,0,0.142857142857,0.285714285714,0.642857142857,0.571428571429,0.285714285714,0.0204081632653,0.0816326530612,0.413265306122,0.326530612245,0.0816326530612,0
002636_2026-06-11,2026-06-11,002636,1,0.0890098899878,0.07,0.599855388238,1,0.61630112367,1,0,1,0.9,0.75,1,0.9,1,0.81,0.5625,1,0.81,4
605318_2026-06-11,2026-06-11,605318,0,0.0456747404844,0.0456747404844,0.593868983104,2,0.603621579339,2,0,0.8,0.8,0.95,0.8,1,0.64,0.64,0.9025,0.64,1,2
605006_2026-06-11,2026-06-11,605006,0,0.012037037037,0.012037037037,0.577343898133,3,0.58087621336,3,0,0.7,0.7,0.95,0.9,0.5,0.49,0.49,0.9025,0.81,0.25,2
605589_2026-06-11,2026-06-11,605589,1,0.0872881355932,0.07,0.576850215134,4,0.575052994884,4,0,0.6,0.6,0.6,0.7,0.8,0.36,0.36,0.36,0.49,0.64,0
603065_2026-06-11,2026-06-11,603065,0,0.0286764705882,0.0286764705882,0.560827587144,5,0.564528681225,5,0,0.9,1,0.75,0.5,0.1,0.81,1,0.5625,0.25,0.01,2
002585_2026-06-11,2026-06-11,002585,0,0.0257648953301,0.0257648953301,0.542080308779,6,0.528159714102,6,0,0.5,0.5,0.4,0.3,0.2,0.25,0.25,0.16,0.09,0.04,0
000029_2026-06-11,2026-06-11,000029,0,0.0117970900511,0.0117970900511,0.539164166474,7,0.525957442492,7,0,0.4,0.4,0.4,0.2,0.6,0.16,0.16,0.16,0.04,0.36,0
003026_2026-06-11,2026-06-11,003026,0,-0.0459548706659,-0.0459548706659,0.529836114734,8,0.515602532896,8,0,0.1,0.1,0.1,0.1,0.7,0.01,0.01,0.01,0.01,0.49,0
603002_2026-06-11,2026-06-11,603002,0,0.0673719376392,0.0673719376392,0.527254387246,9,0.514330829717,9,0,0.3,0.2,0.2,0.6,0.4,0.09,0.04,0.04,0.36,0.16,0
002669_2026-06-11,2026-06-11,002669,0,-0.00120481927711,-0.00120481927711,0.52322400961,10,0.507336682233,10,0,0.2,0.3,0.4,0.4,0.3,0.04,0.09,0.16,0.16,0.09,0
002119_2026-06-12,2026-06-12,002119,0,0.0543580131209,0.0543580131209,0.588067577805,1,0.600710360468,1,0,1,1,0.625,0.75,0.75,1,1,0.390625,0.5625,0.5625,2
002409_2026-06-12,2026-06-12,002409,1,0.0771077107711,0.07,0.56544213603,3,0.568736438997,2,-1,0.625,0.625,0.875,0.625,1,0.390625,0.390625,0.765625,0.390625,1,1
000048_2026-06-12,2026-06-12,000048,0,-0.0215053763441,-0.0215053763441,0.567836450945,2,0.567831819587,3,1,0.875,0.875,0.875,0.25,0.5,0.765625,0.765625,0.765625,0.0625,0.25,0
600378_2026-06-12,2026-06-12,600378,1,0.0784588441331,0.07,0.549637702913,4,0.551873970713,4,0,0.75,0.75,0.875,0.375,0.875,0.5625,0.5625,0.765625,0.140625,0.765625,0
002165_2026-06-12,2026-06-12,002165,1,0.0732356857523,0.07,0.54002229513,5,0.530278453602,5,0,0.375,0.25,0.375,0.875,0.25,0.140625,0.0625,0.140625,0.765625,0.0625,0
600665_2026-06-12,2026-06-12,600665,0,0.012987012987,0.012987012987,0.533900544134,6,0.528023185987,6,0,0.5,0.125,0.125,1,0.125,0.25,0.015625,0.015625,1,0.015625,1
603155_2026-06-12,2026-06-12,603155,1,0.087962962963,0.07,0.523644152618,7,0.512599632303,7,0,0.25,0.5,0.375,0.5,0.625,0.0625,0.25,0.140625,0.25,0.390625,0
600178_2026-06-12,2026-06-12,600178,0,-0.00398803589232,-0.00398803589232,0.514674820484,8,0.496967097723,8,0,0.125,0.375,0.375,0.125,0.375,0.015625,0.140625,0.140625,0.015625,0.140625,0
002203_2026-06-15,2026-06-15,002203,0,0.03625,0.03625,0.551771532523,1,0.567296049744,1,0,1,1,1,1,0.666666666667,1,1,1,1,0.444444444444,4
600067_2026-06-15,2026-06-15,600067,0,0.0285714285714,0.0285714285714,0.51804962166,2,0.510847332717,2,0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.444444444444,0.444444444444,0.444444444444,0.444444444444,0.111111111111,0
603014_2026-06-15,2026-06-15,603014,1,0.111851637207,0.07,0.4702966319,3,0.464774665172,3,0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,0.111111111111,0.111111111111,0.111111111111,0.111111111111,1,1
001359_2026-06-16,2026-06-16,001359,1,0.120841364284,0.07,0.582950918582,2,0.594365856473,1,-1,0.714285714286,1,0.642857142857,0.571428571429,1,0.510204081633,1,0.413265306122,0.326530612245,1,2
601958_2026-06-16,2026-06-16,601958,0,0.0439285714286,0.0439285714286,0.586498808578,1,0.589668508273,2,1,0.857142857143,0.857142857143,0.642857142857,0.714285714286,0.714285714286,0.734693877551,0.734693877551,0.413265306122,0.510204081633,0.510204081633,0
