code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
600857,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600857 data quality check failed: minute trade days 35 < required 40,宁波中百,2026-06-16,2026-06-12
600862,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600862 data quality check failed: minute trade days 35 < required 40,中航高科,2026-06-16,2026-06-12
600906,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600906 data quality check failed: minute trade days 35 < required 40,财达证券,2026-06-16,2026-06-12
600961,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600961 data quality check failed: minute trade days 35 < required 40,株冶集团,2026-06-16,2026-06-12
600962,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600962 data quality check failed: minute trade days 35 < required 40,国投中鲁,2026-06-16,2026-06-12
601233,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,601233 data quality check failed: minute trade days 35 < required 40,桐昆股份,2026-06-16,2026-06-12
601609,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,601609 data quality check failed: minute trade days 35 < required 40,金田股份,2026-06-16,2026-06-12
601696,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,601696 data quality check failed: minute trade days 35 < required 40,中银证券,2026-06-16,2026-06-15
601958,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,601958 data quality check failed: minute trade days 35 < required 40,金钼股份,2026-06-16,2026-06-15
603014,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:50:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603014 data quality check failed: minute trade days 35 < required 40,威高血净,2026-06-16,2026-06-12
