event_id,signal_date,code,change_type,field,old_value,new_value,reason
000725_2026-05-25,2026-05-26,000725,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000725_2026-05-25,2026-05-26,000725,unchanged,,,,
002421_2026-05-26,2026-05-26,002421,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002421_2026-05-26,2026-05-26,002421,unchanged,,,,
002442_2026-05-25,2026-05-26,002442,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002442_2026-05-25,2026-05-26,002442,unchanged,,,,
002741_2026-05-26,2026-05-26,002741,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002741_2026-05-26,2026-05-26,002741,unchanged,,,,
002897_2026-05-26,2026-05-26,002897,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002897_2026-05-26,2026-05-26,002897,unchanged,,,,
002938_2026-05-26,2026-05-26,002938,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002938_2026-05-26,2026-05-26,002938,unchanged,,,,
002975_2026-05-26,2026-05-26,002975,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002975_2026-05-26,2026-05-26,002975,unchanged,,,,
002980_2026-05-26,2026-05-26,002980,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002980_2026-05-26,2026-05-26,002980,unchanged,,,,
600186_2026-05-26,2026-05-26,600186,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600186_2026-05-26,2026-05-26,600186,unchanged,,,,
600234_2026-05-26,2026-05-26,600234,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600234_2026-05-26,2026-05-26,600234,unchanged,,,,
600503_2026-05-26,2026-05-26,600503,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600503_2026-05-26,2026-05-26,600503,unchanged,,,,
603001_2026-05-26,2026-05-26,603001,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603001_2026-05-26,2026-05-26,603001,unchanged,,,,
603661_2026-05-26,2026-05-26,603661,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603661_2026-05-26,2026-05-26,603661,unchanged,,,,
605580_2026-05-26,2026-05-26,605580,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605580_2026-05-26,2026-05-26,605580,unchanged,,,,
000012_2026-05-25,2026-05-27,000012,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000012_2026-05-25,2026-05-27,000012,unchanged,,,,
000725_2026-05-25,2026-05-27,000725,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000725_2026-05-25,2026-05-27,000725,unchanged,,,,
002185_2026-05-27,2026-05-27,002185,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002185_2026-05-27,2026-05-27,002185,unchanged,,,,
002421_2026-05-26,2026-05-27,002421,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002421_2026-05-26,2026-05-27,002421,unchanged,,,,
002442_2026-05-25,2026-05-27,002442,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002442_2026-05-25,2026-05-27,002442,unchanged,,,,
002741_2026-05-26,2026-05-27,002741,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002741_2026-05-26,2026-05-27,002741,unchanged,,,,
002897_2026-05-26,2026-05-27,002897,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002897_2026-05-26,2026-05-27,002897,unchanged,,,,
002938_2026-05-26,2026-05-27,002938,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002938_2026-05-26,2026-05-27,002938,unchanged,,,,
002975_2026-05-26,2026-05-27,002975,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002975_2026-05-26,2026-05-27,002975,unchanged,,,,
002980_2026-05-26,2026-05-27,002980,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002980_2026-05-26,2026-05-27,002980,unchanged,,,,
600172_2026-05-27,2026-05-27,600172,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600172_2026-05-27,2026-05-27,600172,unchanged,,,,
600186_2026-05-26,2026-05-27,600186,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600186_2026-05-26,2026-05-27,600186,unchanged,,,,
600234_2026-05-26,2026-05-27,600234,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600234_2026-05-26,2026-05-27,600234,unchanged,,,,
600503_2026-05-26,2026-05-27,600503,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600503_2026-05-26,2026-05-27,600503,unchanged,,,,
600520_2026-05-27,2026-05-27,600520,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600520_2026-05-27,2026-05-27,600520,unchanged,,,,
