event_id,code,signal_date,sample_role,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,expected_d2_date,actual_d2_date,expected_d3_date,actual_d3_date,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,section,value
002080_2026-06-26,002080,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
002141_2026-06-29,002141,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
002180_2026-06-30,002180,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
002568_2026-06-30,002568,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
002965_2026-06-29,002965,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,,,,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
600228_2026-06-29,600228,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
600584_2026-06-26,600584,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
600667_2026-06-26,600667,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
600962_2026-06-29,600962,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
601133_2026-06-30,601133,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603155_2026-06-30,603155,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
