event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,candidate_status,exclusion_reason,data_quality_reason,v01_candidate_status,sample_role_v02
603283_2026-04-29,603283,赛腾股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603317_2026-04-30,603317,天味食品,2026-05-06,2026-04-30,2,1,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
603318_2026-04-29,603318,水发燃气,2026-05-06,2026-04-29,5,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 5 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603336_2026-04-29,603336,宏辉果蔬,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603338_2026-04-29,603338,浙江鼎力,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603353_2026-04-30,603353,和顺石油,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603360_2026-05-06,603360,百傲化学,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603375_2026-05-06,603375,盛景微,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603489_2026-04-30,603489,八方股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603516_2026-04-30,603516,淳中科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603687_2026-05-06,603687,大胜达,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603698_2026-05-06,603698,航天工程,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603717_2026-05-06,603717,天域生物,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603726_2026-05-06,603726,朗迪集团,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603738_2026-04-30,603738,泰晶科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603773_2026-04-30,603773,沃格光电,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603803_2026-04-30,603803,瑞斯康达,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603897_2026-05-06,603897,长城科技,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603906_2026-04-30,603906,龙蟠科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603931_2026-04-29,603931,格林达,2026-05-06,2026-04-29,2,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
