column,feature_role,dtype,available_at_d1_close,missing_count,missing_rate,non_finite_count,min,p01,p10,p50,p90,p99,max,unique_count,train_primary_available_count,may_sensitivity_available_count,formula,source,notes
d2_open,label,float64,yes,0,0.0,0,1.26,2.5819,4.547,18.41,86.35200000000003,256.07609999999954,598.0,893,877,141,,,
d2_high,label,float64,yes,0,0.0,0,1.34,2.73,4.8260000000000005,19.14,91.37900000000002,263.5513999999998,600.0,925,0,141,,,
d2_low,label,float64,yes,0,0.0,0,1.23,2.4876,4.359,17.585,83.296,244.26679999999988,565.0,909,0,141,,,
d2_close,label,float64,yes,0,0.0,0,1.28,2.5938,4.538,18.45,87.59600000000002,256.40159999999963,575.0,915,0,141,,,
d3_high,label,float64,yes,0,0.0,0,1.31,2.7219,4.73,18.85,92.111,268.0630999999995,582.0,919,877,141,,,
d3_low,label,float64,yes,0,0.0,0,1.22,2.4776000000000002,4.328,17.47,83.31600000000002,242.32499999999996,533.0,888,0,141,,,
d3_close,label,float64,yes,0,0.0,0,1.24,2.5995,4.496,18.085,88.484,256.4096999999996,545.9,916,877,141,,,
d2open_to_d3high_return,label,float64,yes,0,0.0,0,-0.3156443831840111,-0.10014588980397009,-0.04476230899830214,0.0305174329662486,0.136416891427663,0.2319699966006626,0.2799043062200959,1008,877,141,d3_high / d2_open - 1,,
d2open_to_d3close_return,label,float64,yes,0,0.0,0,-0.3551573627383414,-0.16025613733127997,-0.09974950835570788,-0.01490290346907995,0.10053825749014816,0.2063808704284416,0.2784688995215312,1012,877,141,d3_close / d2_open - 1,,
target7_d2open_d3high,label,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,877,141,d2open_to_d3high_return >= 0.07,,
tail_loss_5pct,label,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,877,141,d2open_to_d3close_return <= -0.05,,
future_data_status,identity,str,yes,0,0.0,1020,,,,,,,,1,0,141,,,
last_board_date,audit_only,str,yes,0,0.0,1020,,,,,,,,60,0,141,,,
break_day_in_pool,audit_only,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,141,,,
last_board_day_in_pool,audit_only,bool,yes,0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,141,,,
pool_consecutive_count_last_board,audit_only,float64,yes,39,0.03823529411764706,39,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3,0,124,,,
v004a_score_source,audit_only,str,yes,436,0.42745098039215684,1020,,,,,,,,5,0,77,,,
stage_group,identity,str,yes,0,0.0,1020,,,,,,,,2,877,141,"days_since_break==0 → d0; ∈{1,2} → post",,
post_day,identity,float64,yes,382,0.37450980392156863,382,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,545,92,d0 为空; days_since_break==1 → 1; ==2 → 2,,
training_stage_feature,identity,str,yes,0,0.0,1020,,,,,,,,1,877,141,未来模型应使用的阶段字段: stage_group,,
d1_bar_count,label_quality,int64,yes,0,0.0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,0,141,信号日 5min bar 数,,
d2_bar_count,label_quality,int64,yes,0,0.0,0,43.0,48.0,48.0,48.0,48.0,48.0,48.0,2,0,141,D2 5min bar 数,,
d3_bar_count,label_quality,int64,yes,0,0.0,0,42.0,48.0,48.0,48.0,48.0,48.0,48.0,3,0,141,D3 5min bar 数,,
d1_first_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,信号日首根 bar 时间,,
d2_first_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,D2 首根 bar 时间,,
d3_first_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,D3 首根 bar 时间,,
d1_last_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,信号日末根 bar 时间,,
d2_last_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,D2 末根 bar 时间,,
d3_last_bar_time,label_quality,str,yes,0,0.0,1020,,,,,,,,1,0,141,D3 末根 bar 时间,,
d1_expected_bar_count,label_quality,int64,yes,0,0.0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,0,141,48 (完整交易日网格),,
d2_expected_bar_count,label_quality,int64,yes,0,0.0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,0,141,48,,
d3_expected_bar_count,label_quality,int64,yes,0,0.0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,0,141,48,,
d1_minute_complete,label_quality,bool,yes,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,141,bar数=48 且 首09:35 且 末15:00,,
d2_minute_complete,label_quality,bool,yes,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,141,同 D1,,
d3_minute_complete,label_quality,bool,yes,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,141,同 D1,,
d2_daily_minute_open_diff,label_quality,float64,yes,65,0.06372549019607843,65,0.0,0.0,0.0,0.0,0.0,0.0,0.1300000000000096,5,0,140,|日线D2开盘 - D2首根5min bar开盘|,,
d3_daily_minute_high_diff,label_quality,float64,yes,154,0.15098039215686274,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0100000000000006,2,0,138,|日线D3最高 - D3 5min最高|,,
d3_daily_minute_close_diff,label_quality,float64,yes,154,0.15098039215686274,154,0.0,0.0,0.0,0.0,0.0,0.0035000000000001224,2.92999999999995,9,0,138,|日线D3收盘 - D3末根5min收盘|,,
expected_d2_date,label_quality,str,yes,0,0.0,1020,,,,,,,,60,0,141,统一交易日历中 signal_date 的下一交易日,,
actual_d2_date,label_quality,str,yes,0,0.0,1020,,,,,,,,60,0,141,实际用于标签的 D2 日期(个股 5min 序列),,
expected_d3_date,label_quality,str,yes,0,0.0,1020,,,,,,,,60,0,141,统一交易日历中 expected_d2 的下一交易日,,
actual_d3_date,label_quality,str,yes,0,0.0,1020,,,,,,,,60,0,141,实际用于标签的 D3 日期,,
d2_date_shift_reason,label_quality,str,yes,0,0.0,1020,,,,,,,,2,0,141,none / suspended_proven / shift_without_proof,,
d3_date_shift_reason,label_quality,str,yes,0,0.0,1020,,,,,,,,2,0,141,none / suspended_proven / shift_without_proof,,
suspension_proof_status,label_quality,str,yes,0,0.0,1020,,,,,,,,2,0,141,not_applicable / proven / not_proven,,
label_quality_ok,label_quality,bool,yes,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,877,141,D1/D2/D3 分钟网格完整 + 日期偏移有严格停牌证明,,
label_quality_reason,label_quality,str,yes,0,0.0,1020,,,,,,,,3,0,141,,,
target_quality_ok,label_quality,bool,yes,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,877,141,label_quality_ok 且 d2open_to_d3high_return 可计算,,
tail_label_quality_ok,label_quality,bool,yes,0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,877,141,label_quality_ok 且 d2open_to_d3close_return 可计算,,
sample_role,identity,str,yes,0,0.0,1020,,,,,,,,3,0,141,TRAIN_PRIMARY / SENSITIVITY_MAY_COMPLETE / AUDIT_ONLY_MAY_INCOMPLETE / EXCLUDED_QUALITY,,
sample_role_reason,identity,str,yes,0,0.0,1020,,,,,,,,4,0,141,,,
d1_close_above_ma5,training,bool,yes,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,877,141,d1_close >= d1_ma5,,
d1_close_above_ma10,training,bool,yes,0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,877,141,d1_close >= d1_ma10,,
d1_true_reclaim_ma5,training,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,877,141,d1_low <= d1_ma5 AND d1_close >= d1_ma5,,
d1_true_reclaim_ma10,training,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,877,141,d1_low <= d1_ma10 AND d1_close >= d1_ma10,,
d1_close_to_ma5_bucket,training,str,yes,0,0.0,1020,,,,,,,,6,877,141,分桶(d1_close_to_ma5_raw): <-5%/-5~-2%/-2~+2%/+2~+5%/+5~+10%/>=+10%,,
d1_open_to_close_bucket,training,str,yes,0,0.0,1020,,,,,,,,6,877,141,分桶(d1_open_to_close_return_raw): <-5%/-5~-2%/-2~0%/0~+2%/+2~+5%/>=+5%,,
event_observation_count,weight_helper,float64,yes,134,0.13137254901960785,134,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3,877,8,该 event_id 在 TRAIN_PRIMARY 中的行数,,
signal_date_candidate_count,weight_helper,float64,yes,141,0.13823529411764707,141,6.0,8.0,13.0,23.0,38.0,43.0,43.0,25,877,0,该 signal_date 在 TRAIN_PRIMARY 中的行数,,
proposed_training_weight,weight_helper,float64,yes,142,0.1392156862745098,142,0.0277777777777777,0.4048440692332352,0.4581130257112925,0.8289664274775769,1.6320276540964795,3.481658995405823,5.802764992343038,47,877,0,"1/(signal_date_candidate_count × event_observation_count), TRAIN_PRIMARY 内均值归一化为1",,
