event_id,code,name,signal_date,break_date,stage_group,post_day,expected_d2_date,expected_d3_date,actual_daily_d2_date,actual_daily_d3_date,daily_label_quality_reason,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,audit_minute_d2_open,audit_minute_d3_high,audit_minute_d3_close,audit_minute_target7,audit_minute_tail_loss,v004a_probability,v004a_rank,is_v004a_top15,v004a_score_source,sample_role,sample_role_v021,missing_type,month
603033_2026-07-01,603033,三维股份,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,10.44,10.95,10.21,False,False,0.4649521924311974,29.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
603379_2026-07-02,603379,三美股份,2026-07-02,2026-07-02,d0,,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,80.0,76.07,71.45,False,True,0.4844147619813239,12.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
603650_2026-06-30,603650,彤程新材,2026-07-02,2026-06-30,post,2.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,94.82,92.3,83.69,False,True,0.4282536124374253,84.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
603983_2026-07-01,603983,丸美生物,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,27.52,31.3,31.12,True,False,0.4928866668144633,6.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
000520_2026-07-03,000520,凤凰航运,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,4.66,4.79,4.59,False,False,0.4862468072521176,6.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
000536_2026-07-03,000536,华映科技,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.91,3.78,3.5,False,True,0.4937549603685151,5.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
000601_2026-07-03,000601,韶能股份,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,6.66,7.0,6.59,False,False,0.4301916332246627,80.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
001313_2026-07-03,001313,粤海饲料,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,7.89,8.11,8.07,False,False,0.4399544033500212,64.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
001331_2026-07-02,001331,胜通能源,2026-07-03,2026-07-02,post,1.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,62.86,68.0,61.0,True,False,0.4012773112399923,130.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
002053_2026-07-02,002053,云南能投,2026-07-03,2026-07-02,post,1.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,9.7,9.53,9.17,False,True,0.4007628500631229,132.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
