event_id,code,signal_date,expected_d2_date,expected_d3_date,primary_daily_file_path,primary_daily_file_exists,primary_daily_first_date,primary_daily_last_date,primary_daily_row_count,expected_d2_in_primary_daily,expected_d3_in_primary_daily,file_modified_time,file_size,file_sha256,cache_modified_after_v021_build,v021_build_reference_time,loader_function_path,loader_applied_override,override_file_path,override_contains_d2,override_contains_d3,audit_result
600378_2026-07-01,600378,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\600378_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:19,36310,030ab887a4959305fdbe8c0298dd24d045e673e086932331b1586fdb362d85a2,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600707_2026-07-01,600707,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\600707_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:30:27,36310,ac30a5b2903ff5d670872444217a226fb79318d4619792b6a6b9a024fa4653bd,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600783_2026-07-02,600783,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\600783_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:30:29,36310,9a06bf72a3829fc9c2e40c0c785d7c297cd23f30492fb0fe8d63aea6f33fe919,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
601133_2026-06-30,601133,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\601133_daily.pkl,True,2025-04-28,2026-07-03,284,True,False,2026-07-05 23:28:28,35941,a61382e0e2eef706db92e1d97f1167d2f3db60067a4178dae381eedf7448683a,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
603033_2026-07-01,603033,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\603033_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:34,36310,1d00497396b95f8e99494d934c1d0dcfed6b2356b69c2bc64f70293783601268,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
603379_2026-07-02,603379,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\603379_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:30:56,36310,c76684378b9ae4d3587892d2ce061b91168fcfe3eac4f131671a4484ab9c7daa,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
603650_2026-06-30,603650,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\603650_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:51,36310,62e791f0b9aa9571bdaae2299a2b9a183a329233f470074d55cf4684c636c2eb,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
603983_2026-07-01,603983,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\603983_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:59,36310,ada0c7b6ab6d5bc70f96c802533e2e725c308ba036c18bd6c187afcbef7723fa,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000520_2026-07-03,000520,2026-07-03,2026-07-06,2026-07-07,F:\fenqixuangu\data\cache\daily\000520_daily.pkl,True,2025-04-30,2026-07-06,286,True,False,2026-07-06 21:55:50,36187,276e73b4357dfe1cec989b2fb432664e80f095e044c565bc29e9b946e83e3f94,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000536_2026-07-03,000536,2026-07-03,2026-07-06,2026-07-07,F:\fenqixuangu\data\cache\daily\000536_daily.pkl,True,2025-04-30,2026-07-06,286,True,False,2026-07-06 21:55:51,36187,a5e73f015f0745904ca64ec08348f7ab364b0e866596d6bd1207e0aa6bda8946,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
