event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,closing_completion_gap,strength_x_gap,capped_pair_score,capped_pair_rank,final_capped_rank,target7,raw_repair_return,capped_opportunity_return_7,outcome_state,rank_strict_stage1,rank_strict_capped,rank_winner_protect,rank_loss_permission,rank_oracle_loss_stage1_backfill,rank_oracle_risk_oracle_backfill,rank_top10_oracle
603186_2026-06-10,2026-06-10,603186,7,2026-06-12,0.593746482363,3,True,0.107142857143,0.0714285714286,0.00966977768786,4,4,1,0.12896813445,0.07,TARGET7,3,4,2,3,3,3,3
001696_2026-06-10,2026-06-10,001696,7,2026-06-12,0.582844901318,4,True,0.25,0.125,0.00918594202551,5,5,1,0.202105263158,0.07,TARGET7,4,5,4,4,4,4,1
002747_2026-06-10,2026-06-10,002747,7,2026-06-12,0.556544588022,5,True,0.821428571429,0.27380952381,0.0135963798762,3,3,0,0.0194285714286,0.0194285714286,POSITIVE_NON_TARGET,5,3,5,5,5,5,6
002362_2026-06-10,2026-06-10,002362,7,2026-06-12,0.553336281321,6,True,0.464285714286,0.077380952381,0.00741782602224,6,6,0,-0.0082219938335,-0.0082219938335,LOSS,6,6,6,6,6,6,7
002254_2026-06-10,2026-06-10,002254,7,2026-06-12,0.540138504497,7,True,0.607142857143,0,0.00694838550072,7,7,1,0.0754173862982,0.07,TARGET7,7,7,7,7,7,7,2
002636_2026-06-11,2026-06-11,002636,10,2026-06-15,0.600535612351,1,True,0.05,0.05,0.0129192142291,7,7,1,0.0890098899878,0.07,TARGET7,1,4,1,1,1,1,1
605318_2026-06-11,2026-06-11,605318,10,2026-06-15,0.597700837423,2,True,0.152777777778,0.135802469136,0.0129053384252,8,8,0,0.0456747404844,0.0456747404844,POSITIVE_NON_TARGET,2,5,4,2,2,2,4
605589_2026-06-11,2026-06-11,605589,10,2026-06-15,0.581178360457,3,True,0.461111111111,0.358641975309,0.0159863921545,5,5,1,0.0872881355932,0.07,TARGET7,3,6,2,3,3,3,2
605006_2026-06-11,2026-06-11,605006,10,2026-06-15,0.580402769619,4,True,0.255555555556,0.17037037037,0.012080335484,9,9,0,0.012037037037,0.012037037037,POSITIVE_NON_TARGET,4,7,5,4,4,4,5
603065_2026-06-11,2026-06-11,603065,10,2026-06-15,0.564034881813,5,True,0.4375,0.243055555556,0.0139799148289,6,6,0,0.0286764705882,0.0286764705882,POSITIVE_NON_TARGET,5,8,6,5,5,5,6
002585_2026-06-11,2026-06-11,002585,10,2026-06-15,0.547947347533,6,True,0.713888888889,0.317283950617,0.0179739774421,2,2,0,0.0257648953301,0.0257648953301,POSITIVE_NON_TARGET,6,2,7,6,6,6,7
000029_2026-06-11,2026-06-11,000029,10,2026-06-15,0.545473862865,7,True,0.794444444444,0.264814814815,0.018977250577,1,1,0,0.0117970900511,0.0117970900511,POSITIVE_NON_TARGET,7,1,3,7,7,7,8
003026_2026-06-11,2026-06-11,003026,10,2026-06-15,0.537623134217,8,True,0.716666666667,0.159259259259,0.01702210374,3,3,0,-0.0459548706659,-0.0459548706659,LOSS,8,3,8,8,8,8,9
603002_2026-06-11,2026-06-11,603002,10,2026-06-15,0.531343667312,9,True,0.433333333333,0.0481481481481,0.01053242862,10,10,0,0.0673719376392,0.0673719376392,POSITIVE_NON_TARGET,9,9,9,9,9,9,3
002669_2026-06-11,2026-06-11,002669,10,2026-06-15,0.529100716074,10,True,0.734722222222,0,0.0164252941564,4,4,0,-0.00120481927711,-0.00120481927711,LOSS,10,10,10,10,10,10,10
002119_2026-06-12,2026-06-12,002119,8,2026-06-16,0.586392572125,1,True,0.40625,0.40625,0.0154566317416,3,3,0,0.0543580131209,0.0543580131209,POSITIVE_NON_TARGET,1,3,4,1,1,1,4
000048_2026-06-12,2026-06-12,000048,8,2026-06-16,0.570389237292,2,True,0.65625,0.5625,0.0159166195969,2,2,0,-0.0215053763441,-0.0215053763441,LOSS,2,2,3,2,4,4,5
002409_2026-06-12,2026-06-12,002409,8,2026-06-16,0.56486602319,3,True,0.4375,0.3125,0.0137315134917,5,5,1,0.0771077107711,0.07,TARGET7,3,4,1,3,2,2,2
600378_2026-06-12,2026-06-12,600378,8,2026-06-16,0.548745109595,4,True,0.78125,0.446428571429,0.0165487460063,1,1,1,0.0784588441331,0.07,TARGET7,4,1,2,4,3,5,3
002165_2026-06-12,2026-06-12,002165,8,2026-06-16,0.540653865757,5,True,0.125,0.0535714285714,0.00772358858793,7,7,1,0.0732356857523,0.07,TARGET7,5,5,5,5,5,3,1
600665_2026-06-12,2026-06-12,600665,8,2026-06-16,0.533369440337,6,True,0.0625,0.0178571428571,0.00502799697864,8,8,0,0.012987012987,0.012987012987,POSITIVE_NON_TARGET,6,6,6,6,6,6,6
603155_2026-06-12,2026-06-12,603155,8,2026-06-16,0.524696049824,7,True,0.625,0.0892857142857,0.0135293403231,6,6,1,0.087962962963,0.07,TARGET7,7,7,7,7,7,7,7
600178_2026-06-12,2026-06-12,600178,8,2026-06-16,0.51858552727,8,True,0.65625,0,0.013742613247,4,4,0,-0.00398803589232,-0.00398803589232,LOSS,8,8,8,8,8,8,8
002203_2026-06-15,2026-06-15,002203,3,2026-06-17,0.553088870644,1,True,0.0833333333333,0.0833333333333,0.0180167781599,1,1,0,0.03625,0.03625,POSITIVE_NON_TARGET,1,1,2,1,1,1,2
600067_2026-06-15,2026-06-15,600067,3,2026-06-17,0.522420645657,2,True,0.5,0.25,0.013961101029,3,3,0,0.0285714285714,0.0285714285714,POSITIVE_NON_TARGET,2,3,3,2,2,2,3
603014_2026-06-15,2026-06-15,603014,3,2026-06-17,0.472858641154,3,True,0.666666666667,0,0.0140075283843,2,2,1,0.111851637207,0.07,TARGET7,3,2,1,3,3,3,1
601958_2026-06-16,2026-06-16,601958,7,2026-06-18,0.592319763519,1,True,0.357142857143,0.357142857143,0.0194579787497,1,1,0,0.0439285714286,0.0439285714286,POSITIVE_NON_TARGET,1,1,2,1,1,1,4
001359_2026-06-16,2026-06-16,001359,7,2026-06-18,0.584076635077,2,True,0.392857142857,0.327380952381,0.0174203224865,2,2,1,0.120841364284,0.07,TARGET7,2,2,1,2,2,2,1
000510_2026-06-16,2026-06-16,000510,7,2026-06-18,0.572216002721,3,True,0.107142857143,0.0714285714286,0.014223170327,5,5,0,-0.0145310435931,-0.0145310435931,LOSS,3,4,4,4,4,4,5
