comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,graph_quality_score,,missed_unselected,ordinary,77,134,73.55844155844156,62.32835820895522,11.230083349486335,0.4763395600956417,,,,0.4763395600956417,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,consecutive_boards,,missed_unselected,ordinary,77,134,1.2727272727272727,1.1119402985074627,0.16078697421981003,0.3795895865154642,,,,0.3795895865154642,1,positive_group_higher,`consecutive_boards` is higher in the positive group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,total_score,,missed_unselected,ordinary,77,134,70.60909090909091,66.24962686567164,4.3594640434192655,0.28191345579927496,,,,0.28191345579927496,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,low_absorb_width_pct,,missed_unselected,ordinary,77,134,3.24850365524781,3.53257263048583,-0.28406897523801966,-0.20365172324131015,,,,0.20365172324131015,1,negative_group_higher,`low_absorb_width_pct` is higher in the negative group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,invalid_distance_pct,,missed_unselected,ordinary,77,134,3.24850365524781,3.53257263048583,-0.28406897523801966,-0.20365172324131015,,,,0.20365172324131015,1,negative_group_higher,`invalid_distance_pct` is higher in the negative group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,allowed_bool,True,missed_unselected,ordinary,5,30,,,-0.15894553207986045,,0.06493506493506493,0.22388059701492538,0.29004329004329,0.15894553207986045,1,negative_group_overrepresented,`allowed_bool=True` is overrepresented in the negative group. lift=0.29.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,signal_type,WATCH_ONLY,missed_unselected,ordinary,72,104,,,0.1589455320798604,,0.935064935064935,0.7761194029850746,1.2047952047952046,0.1589455320798604,1,positive_group_overrepresented,`signal_type=WATCH_ONLY` is overrepresented in the positive group. lift=1.20.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,position_level,zero,missed_unselected,ordinary,72,104,,,0.1589455320798604,,0.935064935064935,0.7761194029850746,1.2047952047952046,0.1589455320798604,1,positive_group_overrepresented,`position_level=zero` is overrepresented in the positive group. lift=1.20.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,allowed_bool,False,missed_unselected,ordinary,72,104,,,0.1589455320798604,,0.935064935064935,0.7761194029850746,1.2047952047952046,0.1589455320798604,1,positive_group_overrepresented,`allowed_bool=False` is overrepresented in the positive group. lift=1.20.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,signal_type,D2_LOW_ABSORB,missed_unselected,ordinary,0,19,,,-0.1417910447761194,,0.0,0.1417910447761194,0.0,0.1417910447761194,1,negative_group_overrepresented,`signal_type=D2_LOW_ABSORB` is overrepresented in the negative group. lift=0.00.
