factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
graph_quality_score,all_opportunity_d3_max,all_candidates,3,108,70.0,82.0,74.1296,5.0895,4.1892,1.4114,8.3056,0.3333,0.1296,0.0185,0.3333,-0.9658,5.0895
graph_quality_score,all_opportunity_d3_max,all_candidates,4,107,82.0,90.0,86.3364,5.4462,3.8828,0.8513,8.4971,0.3832,0.1682,0.0,0.3832,-1.402,5.4462
graph_quality_score,all_opportunity_d3_max,all_candidates,5,108,90.0,90.0,90.0,5.3299,5.0276,1.2529,8.6872,0.3704,0.1481,0.0,0.3704,-0.1971,5.3299
graph_quality_score,all_primary_d3_close,all_candidates,1,108,0.0,50.0,29.7593,-4.3697,-5.2258,-8.6335,-2.4115,0.0556,0.0278,0.6944,0.1296,-4.3697,2.8049
graph_quality_score,all_primary_d3_close,all_candidates,2,107,50.0,70.0,58.3551,-2.2578,-3.8168,-6.7557,1.1933,0.1215,0.0748,0.5701,0.2523,-2.2578,4.8891
graph_quality_score,all_primary_d3_close,all_candidates,3,108,70.0,82.0,74.1296,-0.9658,-2.6013,-6.3018,3.2087,0.1481,0.0926,0.4907,0.3333,-0.9658,5.0895
graph_quality_score,all_primary_d3_close,all_candidates,4,107,82.0,90.0,86.3364,-1.402,-2.6316,-6.6982,2.0982,0.1215,0.0748,0.4673,0.3832,-1.402,5.4462
graph_quality_score,all_primary_d3_close,all_candidates,5,108,90.0,90.0,90.0,-0.1971,-0.5194,-5.6301,4.2373,0.1296,0.0741,0.3519,0.3704,-0.1971,5.3299
graph_quality_score,executed_realized_d3,executed_only,1,14,70.0,78.0,72.4286,-1.3799,-2.5317,-4.8452,3.2784,0.2143,0.0,0.4286,0.1429,-2.3762,3.2
graph_quality_score,executed_realized_d3,executed_only,2,13,78.0,82.0,81.6923,-2.1221,-2.4961,-5.6044,-1.0503,0.1538,0.0,0.3846,0.2308,-2.3043,4.0651
graph_quality_score,executed_realized_d3,executed_only,3,13,82.0,82.0,82.0,-2.0985,-3.0904,-5.8949,2.3279,0.1538,0.0,0.5385,0.2308,-2.7023,2.5293
graph_quality_score,executed_realized_d3,executed_only,4,13,90.0,90.0,90.0,-0.7844,-2.4041,-6.1503,7.0,0.3077,0.0,0.3846,0.2308,-4.7843,3.4798
graph_quality_score,executed_realized_d3,executed_only,5,13,90.0,90.0,90.0,-0.8124,0.2023,-1.9323,1.4969,0.0,0.0,0.2308,0.0,-2.8161,1.3865
invalid_distance_pct,all_opportunity_d3_max,all_candidates,1,108,0.0,2.6316,1.6097,6.1906,5.2971,1.1958,9.9402,0.4167,0.2037,0.0093,0.4167,-0.2229,6.1906
