event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,daily_universe_capped_return,daily_universe_target7_rate,train_start,train_end,train_dates
601869_2026-06-24,2026-06-24,601869,2,0.585798724834,5,0,-0.0267558528428,-0.0267558528428,0.0219491613706,0.2,2026-05-06,2026-06-23,34
002068_2026-06-24,2026-06-24,002068,3,0.569588235946,6,0,0.0647138964578,0.0647138964578,0.0219491613706,0.2,2026-05-06,2026-06-23,34
000783_2026-06-24,2026-06-24,000783,2,0.567872565328,7,1,0.091103965702,0.07,0.0219491613706,0.2,2026-05-06,2026-06-23,34
600470_2026-06-24,2026-06-24,600470,2,0.56472387395,8,0,0.0189873417722,0.0189873417722,0.0219491613706,0.2,2026-05-06,2026-06-23,34
000571_2026-06-24,2026-06-24,000571,2,0.563254211186,9,1,0.079674796748,0.07,0.0219491613706,0.2,2026-05-06,2026-06-23,34
002830_2026-06-24,2026-06-24,002830,2,0.562529833225,10,0,-0.0324971493729,-0.0324971493729,0.0219491613706,0.2,2026-05-06,2026-06-23,34
605580_2026-06-24,2026-06-24,605580,2,0.560691105184,11,0,-0.00604026845638,-0.00604026845638,0.0219491613706,0.2,2026-05-06,2026-06-23,34
600400_2026-06-24,2026-06-24,600400,2,0.559430303809,12,1,0.100323624595,0.07,0.0219491613706,0.2,2026-05-06,2026-06-23,34
605377_2026-06-24,2026-06-24,605377,2,0.555629336088,13,0,-0.0173913043478,-0.0173913043478,0.0219491613706,0.2,2026-05-06,2026-06-23,34
600322_2026-06-24,2026-06-24,600322,2,0.546564528093,14,0,0.0181818181818,0.0181818181818,0.0219491613706,0.2,2026-05-06,2026-06-23,34
002672_2026-06-24,2026-06-24,002672,2,0.54185638636,15,0,0.0512129380054,0.0512129380054,0.0219491613706,0.2,2026-05-06,2026-06-23,34
605069_2026-06-25,2026-06-25,605069,3,0.582591868435,1,1,0.108333333333,0.07,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
600909_2026-06-25,2026-06-25,600909,2,0.581415517041,2,1,0.07,0.07,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
600379_2026-06-25,2026-06-25,600379,2,0.577741271239,3,0,-0.0113182423435,-0.0113182423435,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
002580_2026-06-25,2026-06-25,002580,2,0.568641112352,4,0,-0.12269446672,-0.12269446672,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
002631_2026-06-25,2026-06-25,002631,2,0.568488991792,5,0,0.0383838383838,0.0383838383838,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
603938_2026-06-25,2026-06-25,603938,3,0.567649603041,6,1,0.174225028703,0.07,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
000566_2026-06-25,2026-06-25,000566,2,0.552802314273,7,0,-0.0021978021978,-0.0021978021978,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
002584_2026-06-25,2026-06-25,002584,2,0.55238095951,8,0,0.0383064516129,0.0383064516129,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
002687_2026-06-25,2026-06-25,002687,2,0.536759034057,9,1,0.134703196347,0.07,0.0244977531928,0.444444444444,2026-05-06,2026-06-24,35
603989_2026-06-26,2026-06-26,603989,2,0.58901816751,1,0,-0.0419642857143,-0.0419642857143,0.0160137516633,0.25,2026-05-06,2026-06-25,36
002990_2026-06-26,2026-06-26,002990,2,0.584109894766,2,1,0.086383601757,0.07,0.0160137516633,0.25,2026-05-06,2026-06-25,36
002080_2026-06-26,2026-06-26,002080,2,0.575913767789,3,0,-0.0525252525253,-0.0525252525253,0.0160137516633,0.25,2026-05-06,2026-06-25,36
600667_2026-06-26,2026-06-26,600667,2,0.575723588776,4,0,0.0668103448276,0.0668103448276,0.0160137516633,0.25,2026-05-06,2026-06-25,36
600141_2026-06-26,2026-06-26,600141,2,0.570942619549,5,0,-0.0441767068273,-0.0441767068273,0.0160137516633,0.25,2026-05-06,2026-06-25,36
603678_2026-06-26,2026-06-26,603678,2,0.57064089103,6,0,0.0416001963431,0.0416001963431,0.0160137516633,0.25,2026-05-06,2026-06-25,36
600584_2026-06-26,2026-06-26,600584,2,0.570370357263,7,0,0.0200970873786,0.0200970873786,0.0160137516633,0.25,2026-05-06,2026-06-25,36
603929_2026-06-26,2026-06-26,603929,2,0.564405874186,8,0,0.0476785648642,0.0476785648642,0.0160137516633,0.25,2026-05-06,2026-06-25,36
603713_2026-06-26,2026-06-26,603713,2,0.556109540565,9,0,-0.0293809024134,-0.0293809024134,0.0160137516633,0.25,2026-05-06,2026-06-25,36
002025_2026-06-26,2026-06-26,002025,2,0.555569611249,10,1,0.0701369863014,0.07,0.0160137516633,0.25,2026-05-06,2026-06-25,36
000818_2026-06-26,2026-06-26,000818,2,0.546522054298,11,1,0.0779510022272,0.07,0.0160137516633,0.25,2026-05-06,2026-06-25,36
002254_2026-06-26,2026-06-26,002254,2,0.536339693842,12,0,-0.025974025974,-0.025974025974,0.0160137516633,0.25,2026-05-06,2026-06-25,36
600228_2026-06-29,2026-06-29,600228,3,0.546142007938,1,0,-0.0793172690763,-0.0793172690763,0.0300581148122,0.6,2026-05-06,2026-06-26,37
002141_2026-06-29,2026-06-29,002141,2,0.538137750928,2,0,0.0196078431373,0.0196078431373,0.0300581148122,0.6,2026-05-06,2026-06-26,37
000823_2026-06-29,2026-06-29,000823,3,0.525753183362,3,1,0.0925280681378,0.07,0.0300581148122,0.6,2026-05-06,2026-06-26,37
002965_2026-06-29,2026-06-29,002965,2,0.52220854086,4,1,0.100767366721,0.07,0.0300581148122,0.6,2026-05-06,2026-06-26,37
600962_2026-06-29,2026-06-29,600962,2,0.518549949908,5,1,0.0751028806584,0.07,0.0300581148122,0.6,2026-05-06,2026-06-26,37
601133_2026-06-30,2026-06-30,601133,2,0.586386576394,1,0,-0.0627906976744,-0.0627906976744,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
603650_2026-06-30,2026-06-30,603650,2,0.580977659399,2,0,0.0474406991261,0.0474406991261,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
603163_2026-06-30,2026-06-30,603163,2,0.576422241173,3,0,-0.0287162162162,-0.0287162162162,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
603956_2026-06-30,2026-06-30,603956,3,0.57285655401,4,0,0.0395387149918,0.0395387149918,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
603155_2026-06-30,2026-06-30,603155,2,0.566017689211,5,1,0.112028725314,0.07,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
002180_2026-06-30,2026-06-30,002180,2,0.561112714058,6,0,0.019452887538,0.019452887538,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
002568_2026-06-30,2026-06-30,002568,2,0.546798967598,7,0,0.0430678466077,0.0430678466077,0.0182847477676,0.142857142857,2026-05-06,2026-06-29,38
