family,feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
FROZEN_STAGE1_18,rank_days_since_d0,BOOTSTRAP,T7_PNT_AUC,0.741418764302,0.559090909091,0.734178194993,0.849206349206,0.99415,,,20000
FROZEN_STAGE1_18,rank_days_since_d0,BOOTSTRAP,T7_PNT_CLIFF,0.482837528604,0.118181818182,0.468356389987,0.698412698413,0.99415,,,20000
FROZEN_STAGE1_18,rank_days_since_d0,LODO,NONLOSS_SPEARMAN,0.257441702198,,,,1,,,28
FROZEN_STAGE1_18,rank_days_since_d0,LODO,PNT_LOSS_AUC,0.404858299595,,,,0,,,28
FROZEN_STAGE1_18,rank_days_since_d0,LODO,T7_PNT_AUC,0.741418764302,0.686688311688,0.741418764302,0.765700483092,1,,,28
FROZEN_STAGE1_18,rank_days_since_d0,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.241418764302,,,,,1,1,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,BOOTSTRAP,NONLOSS_SPEARMAN,0.0947825204638,-0.128389997231,0.115193444322,0.356525659764,0.83665,,,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,BOOTSTRAP,PNT_LOSS_AUC,0.524291497976,0.309375,0.530037593985,0.718181818182,0.60795,,,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,BOOTSTRAP,T7_LOSS_AUC,0.540133779264,0.33,0.540732361321,0.766666666667,0.6401,,,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,BOOTSTRAP,T7_PNT_AUC,0.537757437071,0.379406470588,0.543960780599,0.716965525794,0.69075,,,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,BOOTSTRAP,T7_PNT_CLIFF,0.0755148741419,-0.241187058824,0.0879215611974,0.433931051587,0.69075,,,20000
FROZEN_STAGE1_18,rank_log_candidate_base_price,LODO,NONLOSS_SPEARMAN,0.0947825204638,,,,1,,,28
FROZEN_STAGE1_18,rank_log_candidate_base_price,LODO,PNT_LOSS_AUC,0.524291497976,,,,0.928571428571,,,28
FROZEN_STAGE1_18,rank_log_candidate_base_price,LODO,T7_PNT_AUC,0.537757437071,0.505291005291,0.537757437071,0.590909090909,1,,,28
FROZEN_STAGE1_18,rank_log_candidate_base_price,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0377574370709,,,,,0.557772111394,1,20000
FROZEN_STAGE1_18,rank_theme_score,BOOTSTRAP,NONLOSS_SPEARMAN,0.116389050465,-0.139102677382,0.114306355826,0.368750163574,0.81255,,,20000
FROZEN_STAGE1_18,rank_theme_score,BOOTSTRAP,PNT_LOSS_AUC,0.483805668016,0.277210436806,0.481481481481,0.69668087777,0.42965,,,20000
FROZEN_STAGE1_18,rank_theme_score,BOOTSTRAP,T7_LOSS_AUC,0.576923076923,0.376734375,0.579831932773,0.7733359375,0.78145,,,20000
FROZEN_STAGE1_18,rank_theme_score,BOOTSTRAP,T7_PNT_AUC,0.602974828375,0.45265058675,0.602174861173,0.74867906746,0.9102,,,20000
FROZEN_STAGE1_18,rank_theme_score,BOOTSTRAP,T7_PNT_CLIFF,0.205949656751,-0.0946988265003,0.204349722345,0.497358134921,0.9102,,,20000
FROZEN_STAGE1_18,rank_theme_score,LODO,NONLOSS_SPEARMAN,0.116389050465,,,,1,,,28
FROZEN_STAGE1_18,rank_theme_score,LODO,PNT_LOSS_AUC,0.483805668016,,,,0.178571428571,,,28
FROZEN_STAGE1_18,rank_theme_score,LODO,T7_PNT_AUC,0.602974828375,0.573232323232,0.602974828375,0.630325814536,1,,,28
FROZEN_STAGE1_18,rank_theme_score,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.102974828375,,,,,0.334733263337,1,20000
FROZEN_STAGE1_18,rank_total_score,BOOTSTRAP,NONLOSS_SPEARMAN,0.0428973344123,-0.250405335008,0.0402907049338,0.322660218971,0.61415,,,20000
FROZEN_STAGE1_18,rank_total_score,BOOTSTRAP,PNT_LOSS_AUC,0.663967611336,0.386666666667,0.6625,0.829832662232,0.8961,,,20000
FROZEN_STAGE1_18,rank_total_score,BOOTSTRAP,T7_LOSS_AUC,0.757525083612,0.561224489796,0.761259442145,0.925288289297,0.99435,,,20000
FROZEN_STAGE1_18,rank_total_score,BOOTSTRAP,T7_PNT_AUC,0.609839816934,0.411428571429,0.612307692308,0.815221571906,0.86415,,,20000
FROZEN_STAGE1_18,rank_total_score,BOOTSTRAP,T7_PNT_CLIFF,0.219679633867,-0.177142857143,0.224615384615,0.630443143813,0.86415,,,20000
FROZEN_STAGE1_18,rank_total_score,LODO,NONLOSS_SPEARMAN,0.0428973344123,,,,0.928571428571,,,28
FROZEN_STAGE1_18,rank_total_score,LODO,PNT_LOSS_AUC,0.663967611336,,,,1,,,28
FROZEN_STAGE1_18,rank_total_score,LODO,T7_PNT_AUC,0.609839816934,0.57702020202,0.609839816934,0.672459893048,1,,,28
FROZEN_STAGE1_18,rank_total_score,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.109839816934,,,,,0.19619019049,0.882855857207,20000
FROZEN_STAGE1_18,rank_trend_hold_score,BOOTSTRAP,NONLOSS_SPEARMAN,0.187463443244,-0.0328653267151,0.195676935008,0.439009570741,0.95505,,,20000
FROZEN_STAGE1_18,rank_trend_hold_score,BOOTSTRAP,PNT_LOSS_AUC,0.485829959514,0.254627525253,0.477272727273,0.653509367849,0.40975,,,20000
FROZEN_STAGE1_18,rank_trend_hold_score,BOOTSTRAP,T7_LOSS_AUC,0.66889632107,0.431248102227,0.668135351967,0.868882737633,0.9184,,,20000
FROZEN_STAGE1_18,rank_trend_hold_score,BOOTSTRAP,T7_PNT_AUC,0.672768878719,0.557776785714,0.677777777778,0.803409333722,0.9969,,,20000
FROZEN_STAGE1_18,rank_trend_hold_score,BOOTSTRAP,T7_PNT_CLIFF,0.345537757437,0.115553571429,0.355555555556,0.606818667444,0.9969,,,20000
FROZEN_STAGE1_18,rank_trend_hold_score,LODO,NONLOSS_SPEARMAN,0.187463443244,,,,1,,,28
FROZEN_STAGE1_18,rank_trend_hold_score,LODO,PNT_LOSS_AUC,0.485829959514,,,,0.142857142857,,,28
FROZEN_STAGE1_18,rank_trend_hold_score,LODO,T7_PNT_AUC,0.672768878719,0.657004830918,0.672768878719,0.706766917293,1,,,28
FROZEN_STAGE1_18,rank_trend_hold_score,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.172768878719,,,,,0.150292485376,0.882855857207,20000
FROZEN_STAGE1_18,spread_close_low,BOOTSTRAP,NONLOSS_SPEARMAN,0.11943034056,-0.200780849095,0.113121698307,0.42806626055,0.7621,,,20000
FROZEN_STAGE1_18,spread_close_low,BOOTSTRAP,PNT_LOSS_AUC,0.5,0.285714285714,0.49781655225,0.701393849206,0.4862,,,20000
FROZEN_STAGE1_18,spread_close_low,BOOTSTRAP,T7_LOSS_AUC,0.55016722408,0.385185185185,0.556154576455,0.714876033058,0.7445,,,20000
FROZEN_STAGE1_18,spread_close_low,BOOTSTRAP,T7_PNT_AUC,0.535469107551,0.335978574566,0.535540935673,0.730773809524,0.63745,,,20000
FROZEN_STAGE1_18,spread_close_low,BOOTSTRAP,T7_PNT_CLIFF,0.070938215103,-0.328042850869,0.071081871345,0.461547619048,0.63745,,,20000
FROZEN_STAGE1_18,spread_close_low,LODO,NONLOSS_SPEARMAN,0.11943034056,,,,1,,,28
FROZEN_STAGE1_18,spread_close_low,LODO,PNT_LOSS_AUC,0.5,,,,0.714285714286,,,28
FROZEN_STAGE1_18,spread_close_low,LODO,T7_PNT_AUC,0.535469107551,0.483957219251,0.535469107551,0.588383838384,0.964285714286,,,28
FROZEN_STAGE1_18,spread_close_low,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0354691075515,,,,,0.656817159142,1,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,BOOTSTRAP,NONLOSS_SPEARMAN,0.125050654046,-0.187398768222,0.131013285075,0.37092551714,0.8067,,,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,BOOTSTRAP,PNT_LOSS_AUC,0.518218623482,0.325925925926,0.513015245624,0.746760886173,0.54605,,,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,BOOTSTRAP,T7_LOSS_AUC,0.56856187291,0.397306397306,0.572590218424,0.759615384615,0.7851,,,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,BOOTSTRAP,T7_PNT_AUC,0.535469107551,0.356033281734,0.537260991353,0.683336693548,0.6667,,,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,BOOTSTRAP,T7_PNT_CLIFF,0.070938215103,-0.287933436533,0.0745219827061,0.366673387097,0.6667,,,20000
LOW_LEVEL_53,amount_above_d1_close_ratio,LODO,NONLOSS_SPEARMAN,0.125050654046,,,,1,,,28
LOW_LEVEL_53,amount_above_d1_close_ratio,LODO,PNT_LOSS_AUC,0.518218623482,,,,0.785714285714,,,28
LOW_LEVEL_53,amount_above_d1_close_ratio,LODO,T7_PNT_AUC,0.535469107551,0.505555555556,0.535469107551,0.576441102757,1,,,28
LOW_LEVEL_53,amount_above_d1_close_ratio,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0354691075515,,,,,0.653917304135,1,20000
LOW_LEVEL_53,board_day_volume_rank,BOOTSTRAP,NONLOSS_SPEARMAN,0.0835462975567,-0.268527700973,0.071051585538,0.382670311795,0.67165,,,20000
LOW_LEVEL_53,board_day_volume_rank,BOOTSTRAP,PNT_LOSS_AUC,0.674089068826,0.451278195489,0.681566648398,0.878787878788,0.93985,,,20000
LOW_LEVEL_53,board_day_volume_rank,BOOTSTRAP,T7_LOSS_AUC,0.732441471572,0.504784688995,0.737068965517,0.907897021199,0.97625,,,20000
LOW_LEVEL_53,board_day_volume_rank,BOOTSTRAP,T7_PNT_AUC,0.559496567506,0.353566453708,0.556818181818,0.721160130719,0.7217,,,20000
LOW_LEVEL_53,board_day_volume_rank,BOOTSTRAP,T7_PNT_CLIFF,0.118993135011,-0.292867092585,0.113636363636,0.442320261438,0.7217,,,20000
LOW_LEVEL_53,board_day_volume_rank,LODO,NONLOSS_SPEARMAN,0.0835462975567,,,,1,,,28
LOW_LEVEL_53,board_day_volume_rank,LODO,PNT_LOSS_AUC,0.674089068826,,,,1,,,28
