date,code,market,open,high,low,close,volume,amount,pct_chg,change,amplitude,turnover_rate,source,prev_close,ma5,amount_ma5,ma10,amount_ma10,ma20,amount_ma20,ma30,amount_ma30,close_position,amplitude_calc,amount_ratio,ma5_distance,ma10_distance,ma20_distance,vwap_daily
2026-06-08,000034,SZ,23.5,23.95,22.8,23.06,332389.0,777473571.5012,-5.646481178396082,-1.3800000000000026,4.70540098199672,,tencent_daily,24.44,24.806,955129158.7486401,25.648000000000003,1258831925.94975,30.602500000000003,1490990781.301145,33.323,,0.2260869565217377,4.70540098199672,0.6176150727307143,-0.07038619688784975,-0.1009045539613227,-0.24646679192876408,23.39047235321265
2026-06-09,000034,SZ,23.3,23.49,22.79,23.45,251096.0,581776037.5007,1.6912402428447555,0.39000000000000057,3.0355594102341685,,tencent_daily,23.06,24.286,855419574.2182599,25.206,1132677932.91217,29.685499999999998,1439010620.761975,32.88166666666667,1479666716.87052,0.9428571428571441,3.0355594102341685,0.5136288265146347,-0.03442312443383022,-0.06966595255097996,-0.21005204561149382,23.169466558634944
2026-06-10,000034,SZ,23.4,24.21,22.98,23.17,307678.0,723054398.8501,-1.1940298507462583,-0.2799999999999976,5.2452025586353965,,tencent_daily,23.45,23.804000000000002,745138274.29204,24.935,1056361961.59327,28.702000000000005,1390867997.9463,32.403,1502323440.2881331,0.15447154471544813,5.2452025586353965,0.6844759894227401,-0.026634179129558122,-0.07078403850010018,-0.192739181938541,23.500360729402168
2026-06-11,000034,SZ,23.08,23.08,22.05,22.15,294971.0,658201995.7839,-4.402244281398373,-1.0200000000000031,4.445403539059117,,tencent_daily,23.17,23.253999999999998,728538278.55476,24.523,1021620805.4902099,27.764500000000005,1334746205.057745,31.913,1487277572.48821,0.09708737864077485,4.445403539059117,0.6442723094975257,-0.04747570310484217,-0.09676630102352901,-0.2022186605197286,22.31412565248448
2026-06-12,000034,SZ,22.65,22.86,22.25,22.33,256346.0,574529644.1731,0.8126410835214435,0.17999999999999972,2.753950338600449,,tencent_daily,22.15,22.832,663007129.5618,24.171999999999997,918132156.54857,26.845,1286912943.340175,31.391,1445499169.3756766,0.13114754098360387,2.753950338600449,0.625759200432391,-0.021986685353889368,-0.07620387224888292,-0.16818774445893092,22.41227263827405
2026-06-15,000034,SZ,22.51,24.07,22.51,24.06,404993.0,948106795.2724,7.747424988804302,1.7300000000000004,6.986117330944912,,tencent_daily,22.33,23.032,697133774.31604,23.919,826131466.53234,25.9695,1255058584.074725,30.945,1444141140.82068,0.9935897435897426,6.986117330944912,1.1476463900498155,0.04463355331712404,0.005894895271541412,-0.0735285623519899,23.410448952757207
2026-06-16,000034,SZ,23.84,26.47,23.75,26.47,666668.0,1698727670.8692,10.0166251039069,2.41,11.3050706566916,,tencent_daily,24.06,23.636000000000003,920524100.98974,23.961,887971837.6039999,25.744999999999997,1232470275.88935,30.57166666666667,1471446035.8802402,1.0,11.3050706566916,1.913042282346307,0.11990184464376363,0.10471182337965868,0.02816080792386888,25.4808641013098
2026-06-17,000034,SZ,26.38,26.95,26.01,26.69,533511.0,1414354719.2275,0.8311295806573572,0.22000000000000242,3.551190026445024,,tencent_daily,26.47,24.339999999999996,1058784165.0652201,24.071999999999996,901961219.6786301,25.57,1210226972.838575,30.147,1459238824.773,0.7234042553191504,3.551190026445024,1.5680881709431325,0.09654889071487283,0.10875706214689296,0.04380132968322248,26.51031973525382
2026-06-18,000034,SZ,26.57,26.99,26.28,26.58,369142.0,976269459.0137,-0.41213937804422246,-0.11000000000000298,2.6601723491944447,,tencent_daily,26.69,25.226,1122397657.71118,24.240000000000002,925467968.1329701,25.4985,1161895189.403905,29.653000000000002,1406897786.0264802,0.42253521126760324,2.6601723491944447,1.0548927598036877,0.053674779988900356,0.0965346534653464,0.04241425966233292,26.446989478674872
2026-06-22,000034,SZ,26.42,27.24,25.46,26.26,337008.0,881862816.1877,-1.203912716328054,-0.31999999999999673,6.69676448457486,,tencent_daily,26.58,26.012,1183864292.1141,24.421999999999997,923435710.8379501,25.358,1135021860.26621,29.194333333333336,1385971402.2486868,0.449438202247192,6.69676448457486,0.9549801960631068,0.00953406120252187,0.07526001146507277,0.035570628598470044,26.167414903732258
2026-06-23,000034,SZ,26.01,26.14,25.02,25.14,330929.0,840940809.5850999,-4.2650418888042685,-1.120000000000001,4.2650418888042685,,tencent_daily,26.26,26.227999999999998,1162431094.97664,24.630000000000003,929782434.64634,25.139,1094307180.298045,28.611666666666668,1303921332.41621,0.10714285714285794,4.2650418888042685,0.9044490175865361,-0.04148238523715109,0.020706455542021773,3.9778829706849095e-05,25.411517563740258
2026-06-24,000034,SZ,25.0,25.58,24.46,25.4,301693.0,750844356.0323,1.0342084327764438,0.259999999999998,4.455051710421628,,tencent_daily,25.14,26.014,972854432.0092599,24.825,946689266.4994999,25.015499999999996,1039683599.705835,28.06533333333333,1274903502.6744835,0.8392857142857142,4.455051710421628,0.7931265121539187,-0.023602675482432556,0.023162134944612278,0.01537047030840899,24.887695638689
2026-06-25,000034,SZ,25.7,27.94,25.5,27.94,429806.0,1178870941.4352,10.000000000000012,2.5400000000000027,9.606299212598431,,tencent_daily,25.4,26.264,925757676.4508,25.302,992270920.7580101,25.118499999999997,1024316441.1756399,27.56866666666667,1258002305.550203,1.0,9.606299212598431,1.1880535010888391,0.0638135851355468,0.10426053276420832,0.11232756733085192,27.42797777218559
2026-06-26,000034,SZ,27.45,28.21,26.41,26.62,853952.0,2305529824.6834,-4.724409448818898,-1.3200000000000003,6.442376521116682,,tencent_daily,27.94,26.272000000000002,1191609749.5847402,25.749000000000002,1157003703.6479602,25.136,1089312254.569085,27.09266666666667,1275498704.5878167,0.1166666666666671,6.442376521116682,1.992672812899569,0.01324604141291097,0.033826556371121086,0.05903882877148314,26.998353826484394
